"S value","Time taken"
"0","1476.571428571429"
"1","1383.0"
"2","1355.3333333333335"
"3","1339.619047619048"
"4","1326.428571428571"
"5","1316.619047619048"
"6","1272.142857142857"
"7","1286.9523809523812"
"8","1345.7142857142858"
"9","1321.1904761904764"
"10","1282.9999999999998"
"11","1277.1904761904764"
"12","1220.8095238095239"
"13","1207.3333333333333"
"14","1213.3809523809523"
"15","1237.7142857142858"
"16","1241.5714285714287"
"17","1220.8095238095239"
"18","1226.5714285714284"
"19","1231.6666666666667"
"20","1212.5714285714287"
"21","1190.1904761904764"
"22","1184.3809523809525"
"23","1169.4285714285716"
"24","1195.2857142857142"
"25","1181.9523809523812"
"26","1174.5238095238096"
"27","1202.1428571428573"
"28","1178.904761904762"
"29","1186.6190476190475"
"30","1186.333333333333"
"31","1199.2857142857142"
"32","1187.8571428571427"
"33","1220.7619047619048"
"34","1191.6190476190477"
"35","1205.0476190476193"
"36","1207.238095238095"
"37","1216.285714285714"
"38","1180.4761904761906"
"39","1206.3809523809525"
"40","1173.9047619047622"
"41","1201.3333333333335"
"42","1236.952380952381"
"43","1236.3333333333335"
"44","1191.0952380952385"
"45","1199.8095238095236"
"46","1218.4285714285713"
"47","1193.095238095238"
"48","1201.4285714285716"
"49","1210.1904761904764"
"50","1211.9047619047617"
"51","1176.5238095238094"
"52","1173.2380952380952"
"53","1193.095238095238"
"54","1207.3809523809525"
"55","1207.952380952381"
"56","1220.7142857142858"
"57","1203.4285714285718"
"58","1222.9047619047617"
"59","1203.6666666666665"
"60","1202.142857142857"
"61","1200.5238095238094"
"62","1190.3809523809525"
"63","1199.809523809524"
"64","1207.4761904761904"
"65","1239.3809523809525"
"66","1185.6190476190473"
"67","1185.047619047619"
"68","1198.952380952381"
"69","1211.0476190476188"
"70","1169.3333333333333"
"71","1182.7619047619046"
"72","1214.095238095238"
"73","1216.857142857143"
"74","1210.1904761904764"
"75","1204.4761904761904"
"76","1237.8571428571431"
"77","1224.4285714285716"
"78","1232.4761904761901"
"79","1216.2857142857142"
"80","1248.2380952380954"
"81","1265.952380952381"
"82","1239.3333333333333"
"83","1214.761904761905"
"84","1263.047619047619"
"85","1271.952380952381"
"86","1249.047619047619"
"87","1256.3333333333333"
"88","1248.2380952380952"
"89","1247.4285714285716"
"90","1252.714285714286"
"91","1252.7142857142858"
"92","1239.1904761904764"
"93","1236.4761904761906"
"94","1213.1904761904761"
"95","1237.1428571428573"
"96","1243.619047619048"
"97","1263.2380952380952"
"98","1233.190476190476"
"99","1246.714285714286"
"100","1270.4761904761906"
"101","1263.0476190476193"
"102","1238.6666666666667"
"103","1233.3809523809523"
"104","1262.9999999999998"
"105","1277.2857142857144"
"106","1253.5238095238096"
"107","1260.7142857142858"
"108","1273.5238095238096"
"109","1229.7142857142858"
