"S value","Time taken"
"0","1112.8095238095239"
"1","1034.7619047619048"
"2","1058.4761904761906"
"3","1028.8095238095239"
"4","981.0952380952381"
"5","1001.9999999999999"
"6","982.6190476190476"
"7","957.4285714285713"
"8","943.2857142857142"
"9","938.6666666666666"
"10","943.9999999999999"
"11","963.4285714285712"
"12","979.6190476190477"
"13","952.8095238095237"
"14","946.952380952381"
"15","947.6190476190477"
"16","907.6190476190476"
"17","914.1904761904763"
"18","919.2857142857144"
"19","926.9047619047618"
"20","939.5238095238095"
"21","911.2380952380952"
"22","918.7142857142857"
"23","917.8571428571429"
"24","934.9523809523811"
"25","927.5238095238094"
"26","923.190476190476"
"27","938.7619047619047"
"28","912.8095238095239"
"29","907.7142857142857"
"30","923.857142857143"
"31","893.2857142857143"
"32","923.904761904762"
"33","899.3333333333334"
"34","930.5714285714286"
"35","924.6190476190477"
"36","900.7619047619047"
"37","912.6666666666667"
"38","914.3333333333334"
"39","910.5714285714287"
"40","936.4761904761906"
"41","954.3809523809523"
"42","925.2380952380952"
"43","918.7142857142858"
"44","930.0"
"45","920.9047619047619"
"46","919.3333333333334"
"47","938.0952380952381"
"48","917.1904761904763"
"49","929.095238095238"
"50","909.6666666666666"
"51","907.5238095238097"
"52","920.2380952380953"
"53","928.952380952381"
"54","916.5238095238095"
"55","897.1904761904761"
"56","909.5714285714286"
"57","907.5238095238094"
"58","906.0952380952382"
"59","900.7142857142858"
"60","947.5238095238095"
"61","919.5238095238095"
"62","926.8571428571429"
"63","922.9999999999999"
"64","912.8571428571428"
"65","920.9047619047619"
"66","965.6666666666666"
"67","949.8571428571429"
"68","941.7142857142858"
"69","949.0952380952382"
"70","955.142857142857"
"71","929.8571428571429"
"72","929.1428571428571"
"73","953.6666666666666"
"74","953.7142857142858"
"75","941.7142857142856"
"76","903.1428571428572"
"77","919.3809523809524"
"78","930.6666666666667"
"79","909.8095238095237"
"80","931.3809523809524"
"81","940.190476190476"
"82","938.0"
"83","926.1428571428572"
"84","923.2380952380952"
"85","949.8571428571429"
"86","927.5714285714284"
"87","958.952380952381"
"88","946.1904761904761"
"89","946.8571428571429"
"90","923.0952380952382"
"91","930.5714285714284"
"92","945.4761904761906"
"93","924.7142857142858"
"94","946.142857142857"
"95","925.3809523809523"
"96","956.5714285714284"
"97","939.4761904761906"
"98","909.8095238095239"
"99","945.5714285714287"
"100","926.0"
"101","929.1904761904761"
"102","929.7619047619046"
"103","946.2857142857142"
"104","912.6190476190475"
"105","928.1904761904763"
"106","931.5238095238097"
"107","910.4285714285714"
"108","955.9047619047619"
"109","945.2857142857143"
"110","930.5714285714286"
"111","921.7142857142858"
"112","911.9999999999998"
"113","937.2380952380952"
"114","929.9999999999999"
"115","934.2857142857142"
