"S value","Time taken"
"0","2638.571428571429"
"1","2510.571428571429"
"2","2474.190476190476"
"3","2463.7619047619046"
"4","2362.285714285714"
"5","2387.0476190476193"
"6","2356.7142857142853"
"7","2351.333333333334"
"8","2357.1904761904757"
"9","2271.714285714286"
"10","2275.5714285714284"
"11","2284.333333333333"
"12","2301.3809523809523"
"13","2294.8095238095234"
"14","2288.857142857143"
"15","2318.047619047619"
"16","2334.190476190476"
"17","2304.523809523809"
"18","2280.6190476190473"
"19","2271.0"
"20","2260.0000000000005"
"21","2251.666666666667"
"22","2242.6666666666665"
"23","2249.3809523809527"
"24","2240.6666666666665"
"25","2226.476190476191"
"26","2253.904761904762"
"27","2231.666666666667"
"28","2188.3809523809527"
"29","2192.952380952381"
"30","2220.5714285714284"
"31","2200.9523809523816"
"32","2219.0952380952376"
"33","2225.5714285714284"
"34","2215.285714285714"
"35","2282.904761904762"
"36","2212.285714285714"
"37","2249.52380952381"
"38","2212.904761904762"
"39","2207.904761904762"
"40","2213.7142857142862"
"41","2219.7619047619046"
"42","2207.761904761904"
"43","2256.142857142858"
"44","2279.9523809523807"
"45","2292.7619047619046"
"46","2215.095238095238"
"47","2259.333333333333"
"48","2203.3333333333335"
"49","2220.47619047619"
"50","2238.2857142857147"
"51","2197.476190476191"
"52","2199.2857142857147"
"53","2230.047619047619"
"54","2227.142857142857"
"55","2259.9523809523807"
"56","2219.6666666666665"
"57","2205.5238095238096"
"58","2189.9047619047624"
"59","2169.0952380952376"
"60","2165.4761904761904"
"61","2210.6666666666665"
"62","2235.238095238095"
"63","2193.6190476190477"
"64","2208.6190476190477"
"65","2195.8571428571427"
"66","2192.3333333333335"
"67","2215.4285714285716"
"68","2204.571428571429"
"69","2162.4761904761904"
"70","2164.7142857142853"
"71","2238.714285714286"
"72","2201.9999999999995"
"73","2204.4285714285716"
"74","2227.238095238095"
"75","2287.333333333333"
"76","2355.1904761904766"
"77","2375.9047619047624"
"78","2358.142857142857"
"79","2376.5714285714284"
"80","2338.7619047619046"
"81","2372.190476190476"
"82","2375.3333333333335"
"83","2376.6666666666665"
"84","2368.428571428571"
"85","2388.5238095238096"
"86","2438.3809523809523"
"87","2407.952380952381"
"88","2351.904761904762"
"89","2356.6666666666665"
"90","2405.6190476190477"
"91","2370.761904761904"
"92","2406.2857142857138"
"93","2383.5238095238096"
"94","2414.6190476190477"
"95","2358.190476190476"
"96","2361.6190476190473"
"97","2391.5714285714284"
"98","2366.9523809523803"
"99","2369.2380952380954"
"100","2340.9523809523807"
"101","2392.904761904762"
"102","2355.666666666667"
"103","2347.7619047619046"
"104","2359.5714285714284"
"105","2362.428571428571"
"106","2364.809523809524"
"107","2306.0476190476193"
"108","2349.809523809524"
"109","2350.523809523809"
"110","2329.0952380952394"
"111","2349.190476190477"
"112","2349.8095238095248"
"113","2373.7142857142862"
"114","2380.4285714285716"
"115","2368.476190476191"
"116","2399.6666666666665"
"117","2364.0952380952376"
"118","2332.9047619047615"
"119","2372.8095238095243"
"120","2346.9047619047624"
"121","2375.1904761904766"
"122","2343.9523809523807"
"123","2337.333333333333"
"124","2377.5714285714294"
"125","2419.8095238095243"
"126","2319.285714285714"
"127","2321.380952380952"
"128","2334.3333333333335"
"129","2339.333333333333"
"130","2332.0"
"131","2352.666666666667"
"132","2368.428571428572"
"133","2333.4285714285716"
"134","2351.3333333333326"
"135","2340.857142857143"
"136","2334.238095238095"
"137","2370.7619047619046"
"138","2350.0"
"139","2344.5714285714284"
"140","2393.190476190476"
"141","2314.1428571428573"
"142","2360.333333333333"
"143","2321.5714285714284"
"144","2296.285714285714"
"145","2340.2380952380945"
"146","2362.523809523809"
"147","2380.428571428572"
"148","2342.3809523809527"
"149","2332.809523809524"
"150","2379.6190476190477"
"151","2457.8095238095234"
"152","2523.3333333333335"
"153","2590.7619047619046"
"154","2608.8095238095234"
"155","2585.619047619048"
"156","2585.0"
"157","2630.1904761904766"
"158","2637.0476190476193"
"159","2644.619047619048"
"160","2641.285714285714"
"161","2571.7142857142853"
"162","2622.8095238095243"
"163","2629.7142857142862"
"164","2598.190476190476"
"165","2605.0476190476193"
"166","2601.2857142857138"
"167","2562.0476190476193"
"168","2634.7619047619046"
"169","2552.4285714285716"
"170","2618.1428571428564"
"171","2546.3333333333335"
"172","2528.3333333333335"
"173","2576.8095238095234"
"174","2641.47619047619"
"175","2645.952380952381"
"176","2610.1428571428573"
"177","2613.333333333333"
"178","2571.0000000000005"
"179","2522.571428571429"
"180","2584.8571428571427"
"181","2544.8571428571427"
"182","2602.761904761905"
"183","2614.0000000000005"
"184","2578.904761904762"
"185","2570.8571428571427"
"186","2562.6190476190477"
"187","2571.5238095238096"
"188","2637.9047619047624"
"189","2574.5714285714284"
"190","2586.380952380952"
"191","2583.52380952381"
"192","2595.380952380952"
"193","2604.3333333333335"
"194","2567.1428571428573"
"195","2555.2380952380954"
"196","2534.285714285714"
"197","2552.190476190476"
"198","2610.3333333333335"
"199","2525.4761904761904"
"200","2594.6666666666665"
"201","2575.9523809523803"
"202","2628.0952380952376"
"203","2549.2857142857147"
"204","2566.3809523809523"
"205","2619.2380952380954"
"206","2636.904761904762"
"207","2563.3333333333335"
"208","2597.619047619048"
"209","2577.5238095238096"
"210","2576.095238095238"
"211","2587.0476190476193"
"212","2564.761904761905"
"213","2586.5238095238096"
"214","2508.2857142857147"
"215","2584.190476190476"
"216","2536.761904761905"
"217","2564.0000000000005"
