"S value","Time taken"
"0","1521.1428571428573"
"1","1478.0"
"2","1411.1904761904764"
"3","1385.6190476190477"
"4","1388.8571428571431"
"5","1371.7619047619048"
"6","1351.6666666666667"
"7","1342.7619047619048"
"8","1347.0"
"9","1362.7619047619048"
"10","1348.6666666666667"
"11","1321.6666666666667"
"12","1337.5714285714287"
"13","1298.1428571428573"
"14","1318.1428571428569"
"15","1313.6666666666667"
"16","1322.4285714285718"
"17","1326.3333333333335"
"18","1339.0476190476193"
"19","1309.3333333333335"
"20","1318.1904761904764"
"21","1303.2380952380952"
"22","1280.9047619047617"
"23","1290.666666666667"
"24","1283.1428571428573"
"25","1293.6666666666667"
"26","1274.333333333333"
"27","1273.5238095238094"
"28","1263.9047619047617"
"29","1290.4761904761908"
"30","1301.8095238095239"
"31","1305.6190476190477"
"32","1263.8095238095239"
"33","1278.8095238095236"
"34","1267.6190476190477"
"35","1259.1428571428573"
"36","1296.8095238095239"
"37","1317.4285714285716"
"38","1256.4285714285716"
"39","1268.3333333333333"
"40","1260.9523809523812"
"41","1269.142857142857"
"42","1268.1428571428569"
"43","1260.8095238095234"
"44","1275.7142857142856"
"45","1330.0476190476193"
"46","1316.7142857142858"
"47","1322.5238095238092"
"48","1325.6190476190477"
"49","1285.380952380952"
"50","1307.0476190476193"
"51","1264.5714285714284"
"52","1335.2380952380954"
"53","1306.2380952380952"
"54","1290.6666666666667"
"55","1307.5714285714287"
"56","1315.2857142857144"
"57","1298.5714285714284"
"58","1294.4761904761904"
"59","1295.095238095238"
"60","1289.6666666666663"
"61","1287.666666666667"
"62","1310.7619047619046"
"63","1261.6666666666667"
"64","1320.9999999999998"
"65","1298.7142857142858"
"66","1278.714285714286"
"67","1293.571428571429"
"68","1305.3333333333333"
"69","1289.2380952380952"
"70","1306.2857142857144"
"71","1319.5714285714284"
"72","1322.095238095238"
"73","1333.0952380952378"
"74","1309.8571428571427"
"75","1304.0952380952378"
"76","1309.2380952380952"
"77","1289.2380952380954"
"78","1332.238095238095"
"79","1291.2857142857142"
"80","1305.5238095238096"
"81","1286.904761904762"
"82","1295.095238095238"
"83","1301.6666666666667"
"84","1300.2857142857142"
"85","1286.2857142857142"
"86","1262.2857142857142"
"87","1285.5238095238096"
"88","1289.095238095238"
"89","1318.142857142857"
"90","1301.8095238095239"
"91","1339.6190476190477"
"92","1339.8095238095236"
"93","1396.904761904762"
"94","1365.761904761905"
"95","1364.2380952380952"
"96","1361.428571428571"
"97","1356.7619047619048"
"98","1372.5238095238096"
"99","1348.7142857142858"
"100","1364.1904761904761"
"101","1358.4285714285716"
"102","1326.3809523809525"
"103","1369.4761904761906"
"104","1361.2380952380954"
"105","1356.7142857142858"
"106","1350.8571428571427"
"107","1353.904761904762"
"108","1367.9047619047617"
"109","1344.1428571428569"
"110","1375.3333333333333"
"111","1341.952380952381"
"112","1351.6666666666665"
"113","1346.4761904761906"
"114","1362.8571428571427"
"115","1344.9047619047617"
"116","1380.5238095238094"
"117","1363.571428571429"
"118","1368.7619047619048"
"119","1339.7142857142856"
"120","1324.857142857143"
"121","1324.1428571428573"
"122","1342.047619047619"
"123","1372.3333333333335"
"124","1364.2380952380952"
"125","1392.6666666666665"
"126","1398.4285714285716"
"127","1371.7619047619048"
"128","1367.952380952381"
"129","1359.6666666666667"
"130","1359.1904761904761"
"131","1352.2857142857144"
"132","1368.8095238095239"
"133","1354.5238095238094"
"134","1355.142857142857"
"135","1356.9523809523812"
"136","1376.952380952381"
"137","1345.6190476190477"
"138","1359.8571428571427"
"139","1353.142857142857"
"140","1380.5238095238096"
"141","1365.857142857143"
"142","1354.7619047619048"
"143","1355.952380952381"
"144","1353.904761904762"
"145","1354.5714285714287"
"146","1369.4285714285716"
"147","1364.1904761904761"
"148","1376.904761904762"
"149","1369.3333333333333"
"150","1340.5714285714284"
"151","1350.2380952380952"
"152","1400.0000000000002"
"153","1319.0000000000002"
"154","1341.1428571428573"
"155","1361.2857142857142"
"156","1394.0476190476193"
"157","1367.952380952381"
"158","1349.3809523809523"
"159","1328.7619047619046"
"160","1389.5238095238094"
"161","1329.238095238095"
"162","1347.1428571428573"
"163","1364.9523809523807"
"164","1384.3809523809523"
"165","1374.047619047619"
"166","1359.6666666666667"
"167","1349.4761904761904"
"168","1356.0952380952383"
"169","1344.095238095238"
"170","1376.238095238095"
"171","1377.619047619048"
"172","1348.6190476190475"
"173","1341.142857142857"
"174","1359.7619047619048"
"175","1354.7619047619046"
