"S value","Time taken"
"0","2127.238095238095"
"1","2050.9047619047615"
"2","2046.333333333333"
"3","1960.904761904762"
"4","1910.952380952381"
"5","1944.4285714285713"
"6","1952.0952380952383"
"7","1869.4285714285716"
"8","1894.571428571429"
"9","1893.809523809524"
"10","1896.1428571428569"
"11","1916.857142857143"
"12","1891.7142857142858"
"13","1908.8095238095239"
"14","1896.7619047619048"
"15","1842.5714285714282"
"16","1832.9999999999998"
"17","1844.1428571428569"
"18","1858.095238095238"
"19","1824.8571428571431"
"20","1852.142857142857"
"21","1857.428571428571"
"22","1850.9047619047617"
"23","1875.190476190476"
"24","1892.4285714285713"
"25","1888.6190476190475"
"26","1858.1428571428569"
"27","1857.2380952380954"
"28","1880.333333333333"
"29","1834.3809523809523"
"30","1846.9523809523805"
"31","1829.2857142857144"
"32","1809.8571428571431"
"33","1823.9523809523807"
"34","1826.9523809523807"
"35","1858.761904761905"
"36","1827.8095238095236"
"37","1826.952380952381"
"38","1814.2380952380952"
"39","1865.6666666666665"
"40","1812.7142857142858"
"41","1818.7619047619048"
"42","1812.0"
"43","1802.3809523809525"
"44","1811.238095238095"
"45","1797.3333333333333"
"46","1806.1428571428573"
"47","1843.904761904762"
"48","1832.0952380952385"
"49","1833.666666666667"
"50","1811.142857142857"
"51","1841.8095238095239"
"52","1808.3809523809525"
"53","1812.0"
"54","1837.3809523809523"
"55","1821.0952380952383"
"56","1832.952380952381"
"57","1791.190476190476"
"58","1816.5238095238094"
"59","1838.857142857143"
"60","1838.761904761905"
"61","1826.190476190476"
"62","1837.4285714285713"
"63","1920.6190476190475"
"64","1898.4285714285713"
"65","1908.7142857142858"
"66","1867.952380952381"
"67","1931.8095238095234"
"68","1922.2380952380952"
"69","1919.1904761904761"
"70","1899.095238095238"
"71","1929.0"
"72","1948.8095238095236"
"73","1910.190476190476"
"74","1920.714285714286"
"75","1889.4761904761904"
"76","1912.5238095238094"
"77","1914.0476190476193"
"78","1929.4761904761904"
"79","1922.2857142857147"
"80","1906.4285714285716"
"81","1902.8571428571427"
"82","1923.0"
"83","1952.6190476190477"
"84","1919.047619047619"
"85","1886.5238095238094"
"86","1941.5238095238094"
"87","1916.9047619047622"
"88","1861.1904761904757"
"89","1912.5238095238094"
"90","1913.0"
"91","1930.3809523809525"
"92","1890.952380952381"
"93","1899.8095238095239"
"94","1949.0"
"95","1930.3809523809523"
"96","1889.3333333333333"
"97","1930.952380952381"
"98","1900.5714285714287"
"99","1887.9523809523807"
"100","1919.1428571428573"
"101","1904.2857142857142"
"102","1883.5238095238094"
"103","1903.5714285714282"
"104","1948.0952380952383"
"105","1888.0000000000002"
"106","1896.904761904762"
"107","1936.9999999999998"
"108","1909.6190476190477"
"109","1907.1428571428569"
"110","1907.3333333333335"
"111","1905.1904761904761"
"112","1909.3809523809523"
"113","1904.5714285714284"
"114","1916.2380952380952"
"115","1887.2857142857142"
"116","1889.4285714285713"
"117","1917.047619047619"
"118","1893.0952380952383"
"119","1890.857142857143"
"120","1859.6666666666665"
"121","1902.0"
"122","1876.047619047619"
"123","1897.571428571429"
"124","1928.857142857143"
"125","1946.5714285714282"
"126","1885.6190476190475"
"127","2047.8095238095239"
"128","2131.238095238095"
"129","2044.857142857143"
"130","2067.9999999999995"
"131","2021.8571428571427"
"132","2070.238095238095"
"133","2078.9999999999995"
"134","2066.714285714286"
"135","2036.5714285714284"
"136","2093.285714285714"
"137","2059.7142857142853"
"138","2094.095238095238"
"139","2070.857142857143"
"140","2076.9047619047624"
"141","2063.476190476191"
"142","2057.4761904761904"
"143","2093.9999999999995"
"144","2065.095238095238"
"145","2018.761904761905"
"146","2042.7619047619048"
"147","2056.8095238095234"
"148","2047.9047619047617"
"149","2035.2857142857142"
"150","2050.6666666666665"
"151","2038.952380952381"
"152","2055.2857142857147"
"153","2086.6190476190473"
"154","2063.6190476190477"
"155","2062.095238095238"
"156","2082.9047619047624"
"157","2037.428571428571"
"158","2049.3809523809523"
"159","2038.2380952380954"
"160","2050.238095238095"
"161","2039.5714285714287"
"162","2072.523809523809"
"163","2063.3809523809527"
"164","2081.3333333333335"
"165","2088.7142857142853"
"166","2059.809523809524"
"167","2065.6666666666665"
"168","2036.0"
"169","2055.428571428571"
"170","2039.5238095238094"
"171","2036.8095238095236"
"172","2049.333333333333"
"173","2038.9523809523807"
"174","2019.7142857142858"
"175","2064.9523809523807"
"176","2042.6666666666665"
"177","2048.7142857142853"
"178","2046.3333333333335"
"179","2083.047619047619"
"180","2062.0000000000005"
"181","2021.8095238095236"
"182","2046.4285714285718"
"183","2025.6190476190477"
"184","2030.6190476190475"
"185","2098.380952380953"
"186","2074.6190476190477"
"187","2011.4285714285713"
"188","2044.9523809523812"
"189","2103.5714285714284"
"190","2047.047619047619"
"191","2002.714285714286"
"192","2030.7142857142853"
"193","2034.5238095238096"
"194","2029.2380952380952"
"195","2033.7142857142858"
"196","2050.904761904762"
"197","2024.8095238095243"
"198","2044.952380952381"
"199","2038.8571428571427"
"200","1996.5714285714284"
"201","2017.2380952380952"
"202","2026.2857142857144"
"203","2027.095238095238"
"204","2001.857142857143"
"205","2032.8571428571427"
"206","1993.5238095238094"
"207","2005.3809523809527"
"208","2022.5714285714287"
"209","2047.1904761904761"
"210","1991.3333333333335"
"211","2003.238095238095"
"212","1983.7619047619048"
"213","1982.4285714285713"
"214","1997.2857142857142"
"215","2016.6666666666667"
"216","1989.8095238095239"
"217","2006.2857142857144"
"218","1992.7142857142858"
"219","1980.904761904762"
"220","2038.2380952380954"
"221","2046.4761904761904"
"222","1986.7619047619048"
"223","1992.9047619047622"
"224","2053.1428571428573"
"225","1934.0476190476188"
"226","1996.6190476190477"
"227","1984.6190476190475"
"228","2020.3333333333333"
"229","1934.952380952381"
"230","1968.9523809523807"
"231","1989.6666666666665"
"232","1984.8095238095239"
"233","1970.5714285714284"
"234","2007.619047619048"
"235","1963.7619047619048"
"236","1964.6666666666667"
"237","1946.6190476190477"
"238","1978.761904761905"
"239","1940.7142857142856"
"240","1954.952380952381"
"241","1915.4285714285713"
"242","1927.4761904761901"
"243","1980.2380952380954"
"244","1952.6666666666667"
"245","1962.3333333333333"
"246","1952.619047619048"
"247","1904.2857142857142"
"248","1941.5714285714282"
"249","1911.0476190476193"
