"Number of Vertices","Number of edges","Average Key Comparisons"
"Varying V, Fixed E","168","59731.0"
"Varying V, Fixed E","169","62004.0"
"Varying V, Fixed E","170","64502.0"
"Varying V, Fixed E","171","65869.0"
"Varying V, Fixed E","172","72646.0"
"Varying V, Fixed E","173","66516.0"
"Varying V, Fixed E","174","64723.0"
"Varying V, Fixed E","175","64570.0"
"Varying V, Fixed E","176","66337.0"
"Varying V, Fixed E","177","67200.0"
"Varying V, Fixed E","178","67713.0"
"Varying V, Fixed E","179","70373.0"
"Varying V, Fixed E","180","67943.0"
"Varying V, Fixed E","181","70191.0"
"Varying V, Fixed E","182","69756.0"
"Varying V, Fixed E","183","70071.0"
"Varying V, Fixed E","184","75821.0"
"Varying V, Fixed E","185","70882.0"
"Varying V, Fixed E","186","73614.0"
"Varying V, Fixed E","187","71000.0"
"Varying V, Fixed E","188","74827.0"
"Varying V, Fixed E","189","78692.0"
"Varying V, Fixed E","190","75821.0"
"Varying V, Fixed E","191","78610.0"
"Varying V, Fixed E","192","80940.0"
"Varying V, Fixed E","193","75763.0"
"Varying V, Fixed E","194","85837.0"
"Varying V, Fixed E","195","77580.0"
"Varying V, Fixed E","196","84373.0"
"Varying V, Fixed E","197","81550.0"
"Varying V, Fixed E","198","79428.0"
"Varying V, Fixed E","199","81643.0"
"Varying V, Fixed E","200","81620.0"
"Varying V, Fixed E","201","83295.0"
"Varying V, Fixed E","202","83207.0"
"Varying V, Fixed E","203","88066.0"
"Varying V, Fixed E","204","84944.0"
"Varying V, Fixed E","205","89353.0"
"Varying V, Fixed E","206","91518.0"
"Varying V, Fixed E","207","91124.0"
"Varying V, Fixed E","208","90359.0"
"Varying V, Fixed E","209","89016.0"
"Varying V, Fixed E","210","90564.0"
"Varying V, Fixed E","211","89092.0"
"Varying V, Fixed E","212","100714.0"
"Varying V, Fixed E","213","90721.0"
"Varying V, Fixed E","214","92137.0"
"Varying V, Fixed E","215","100402.0"
"Varying V, Fixed E","216","101093.0"
"Varying V, Fixed E","217","99452.0"
"Varying V, Fixed E","218","104328.0"
"Varying V, Fixed E","219","98198.0"
"Varying V, Fixed E","220","100878.0"
"Varying V, Fixed E","221","102534.0"
"Varying V, Fixed E","222","103774.0"
"Varying V, Fixed E","223","106375.0"
"Varying V, Fixed E","224","98552.0"
"Varying V, Fixed E","225","106681.0"
"Varying V, Fixed E","226","100337.0"
"Varying V, Fixed E","227","100778.0"
"Varying V, Fixed E","228","103654.0"
"Varying V, Fixed E","229","107836.0"
"Varying V, Fixed E","230","108490.0"
"Varying V, Fixed E","231","110266.0"
"Varying V, Fixed E","232","114081.0"
"Varying V, Fixed E","233","110592.0"
"Varying V, Fixed E","234","109342.0"
"Varying V, Fixed E","235","110922.0"
"Varying V, Fixed E","236","117453.0"
"Varying V, Fixed E","237","117646.0"
"Varying V, Fixed E","238","122476.0"
