"Number of Vertices","Number of edges","Average Key Comparisons"
"Varying V, Fixed E","704","940042.0"
"Varying V, Fixed E","705","970658.0"
"Varying V, Fixed E","706","969309.0"
"Varying V, Fixed E","707","959489.0"
"Varying V, Fixed E","708","972241.0"
"Varying V, Fixed E","709","967141.0"
"Varying V, Fixed E","710","976473.0"
"Varying V, Fixed E","711","970123.0"
"Varying V, Fixed E","712","983182.0"
"Varying V, Fixed E","713","1016207.0"
"Varying V, Fixed E","714","1015970.0"
"Varying V, Fixed E","715","988936.0"
"Varying V, Fixed E","716","1004168.0"
"Varying V, Fixed E","717","993930.0"
"Varying V, Fixed E","718","991408.0"
"Varying V, Fixed E","719","1039180.0"
"Varying V, Fixed E","720","1012277.0"
"Varying V, Fixed E","721","1011662.0"
"Varying V, Fixed E","722","1027519.0"
"Varying V, Fixed E","723","1020815.0"
"Varying V, Fixed E","724","1028286.0"
"Varying V, Fixed E","725","1017614.0"
"Varying V, Fixed E","726","1037604.0"
"Varying V, Fixed E","727","1021066.0"
"Varying V, Fixed E","728","1037482.0"
"Varying V, Fixed E","729","1040596.0"
"Varying V, Fixed E","730","1051328.0"
"Varying V, Fixed E","731","1052089.0"
"Varying V, Fixed E","732","1048371.0"
"Varying V, Fixed E","733","1059775.0"
"Varying V, Fixed E","734","1073575.0"
"Varying V, Fixed E","735","1098425.0"
"Varying V, Fixed E","736","1118360.0"
"Varying V, Fixed E","737","1117372.0"
"Varying V, Fixed E","738","1101108.0"
"Varying V, Fixed E","739","1131028.0"
"Varying V, Fixed E","740","1164700.0"
"Varying V, Fixed E","741","1121505.0"
"Varying V, Fixed E","742","1125796.0"
"Varying V, Fixed E","743","1153559.0"
"Varying V, Fixed E","744","1176998.0"
"Varying V, Fixed E","745","1167542.0"
"Varying V, Fixed E","746","1110013.0"
"Varying V, Fixed E","747","1139266.0"
"Varying V, Fixed E","748","1097537.0"
"Varying V, Fixed E","749","1118027.0"
"Varying V, Fixed E","750","1097532.0"
"Varying V, Fixed E","751","1110279.0"
"Varying V, Fixed E","752","1111422.0"
"Varying V, Fixed E","753","1128797.0"
"Varying V, Fixed E","754","1191043.0"
"Varying V, Fixed E","755","1141042.0"
"Varying V, Fixed E","756","1131881.0"
"Varying V, Fixed E","757","1151979.0"
"Varying V, Fixed E","758","1149802.0"
"Varying V, Fixed E","759","1153877.0"
"Varying V, Fixed E","760","1145210.0"
"Varying V, Fixed E","761","1196874.0"
"Varying V, Fixed E","762","1200261.0"
"Varying V, Fixed E","763","1151469.0"
"Varying V, Fixed E","764","1152722.0"
"Varying V, Fixed E","765","1230434.0"
"Varying V, Fixed E","766","1178454.0"
"Varying V, Fixed E","767","1171677.0"
"Varying V, Fixed E","768","1156428.0"
"Varying V, Fixed E","769","1244679.0"
"Varying V, Fixed E","770","1174176.0"
"Varying V, Fixed E","771","1203902.0"
"Varying V, Fixed E","772","1172652.0"
"Varying V, Fixed E","773","1172760.0"
"Varying V, Fixed E","774","1221750.0"
"Varying V, Fixed E","775","1233053.0"
"Varying V, Fixed E","776","1208807.0"
"Varying V, Fixed E","777","1213838.0"
"Varying V, Fixed E","778","1225393.0"
"Varying V, Fixed E","779","1202603.0"
"Varying V, Fixed E","780","1235690.0"
"Varying V, Fixed E","781","1246650.0"
"Varying V, Fixed E","782","1242794.0"
"Varying V, Fixed E","783","1241302.0"
"Varying V, Fixed E","784","1238833.0"
"Varying V, Fixed E","785","1243714.0"
"Varying V, Fixed E","786","1262514.0"
"Varying V, Fixed E","787","1256259.0"
"Varying V, Fixed E","788","1286454.0"
"Varying V, Fixed E","789","1273577.0"
"Varying V, Fixed E","790","1248354.0"
"Varying V, Fixed E","791","1266306.0"
"Varying V, Fixed E","792","1267070.0"
"Varying V, Fixed E","793","1270053.0"
"Varying V, Fixed E","794","1284534.0"
"Varying V, Fixed E","795","1269797.0"
"Varying V, Fixed E","796","1289155.0"
"Varying V, Fixed E","797","1284965.0"
"Varying V, Fixed E","798","1277517.0"
"Varying V, Fixed E","799","1332435.0"
"Varying V, Fixed E","800","1286393.0"
"Varying V, Fixed E","801","1291268.0"
"Varying V, Fixed E","802","1296876.0"
"Varying V, Fixed E","803","1306522.0"
"Varying V, Fixed E","804","1317790.0"
"Varying V, Fixed E","805","1288593.0"
"Varying V, Fixed E","806","1315028.0"
"Varying V, Fixed E","807","1319212.0"
"Varying V, Fixed E","808","1329190.0"
"Varying V, Fixed E","809","1308881.0"
"Varying V, Fixed E","810","1337860.0"
"Varying V, Fixed E","811","1355404.0"
"Varying V, Fixed E","812","1482428.0"
"Varying V, Fixed E","813","1396822.0"
"Varying V, Fixed E","814","1411159.0"
"Varying V, Fixed E","815","1411376.0"
"Varying V, Fixed E","816","1440412.0"
"Varying V, Fixed E","817","1473764.0"
"Varying V, Fixed E","818","1457264.0"
"Varying V, Fixed E","819","1463514.0"
"Varying V, Fixed E","820","1518694.0"
"Varying V, Fixed E","821","1377032.0"
"Varying V, Fixed E","822","1397399.0"
"Varying V, Fixed E","823","1432265.0"
"Varying V, Fixed E","824","1462311.0"
"Varying V, Fixed E","825","1468237.0"
"Varying V, Fixed E","826","1444262.0"
"Varying V, Fixed E","827","1454389.0"
"Varying V, Fixed E","828","1502347.0"
"Varying V, Fixed E","829","1411473.0"
"Varying V, Fixed E","830","1507738.0"
"Varying V, Fixed E","831","1482415.0"
"Varying V, Fixed E","832","1443711.0"
"Varying V, Fixed E","833","1517468.0"
"Varying V, Fixed E","834","1452547.0"
"Varying V, Fixed E","835","1458180.0"
"Varying V, Fixed E","836","1452932.0"
"Varying V, Fixed E","837","1470618.0"
"Varying V, Fixed E","838","1447826.0"
"Varying V, Fixed E","839","1486561.0"
"Varying V, Fixed E","840","1530814.0"
"Varying V, Fixed E","841","1486976.0"
"Varying V, Fixed E","842","1516504.0"
"Varying V, Fixed E","843","1502840.0"
"Varying V, Fixed E","844","1512705.0"
"Varying V, Fixed E","845","1484113.0"
"Varying V, Fixed E","846","1521692.0"
"Varying V, Fixed E","847","1501426.0"
"Varying V, Fixed E","848","1560802.0"
"Varying V, Fixed E","849","1515736.0"
"Varying V, Fixed E","850","1555439.0"
"Varying V, Fixed E","851","1544159.0"
"Varying V, Fixed E","852","1567240.0"
"Varying V, Fixed E","853","1708558.0"
"Varying V, Fixed E","854","1747852.0"
"Varying V, Fixed E","855","1632975.0"
"Varying V, Fixed E","856","1712376.0"
"Varying V, Fixed E","857","1565884.0"
"Varying V, Fixed E","858","1659360.0"
"Varying V, Fixed E","859","1591116.0"
"Varying V, Fixed E","860","1562855.0"
"Varying V, Fixed E","861","1612507.0"
"Varying V, Fixed E","862","1567172.0"
"Varying V, Fixed E","863","1527657.0"
"Varying V, Fixed E","864","1587149.0"
"Varying V, Fixed E","865","1620124.0"
"Varying V, Fixed E","866","1629004.0"
"Varying V, Fixed E","867","1582196.0"
"Varying V, Fixed E","868","1521256.0"
"Varying V, Fixed E","869","1616539.0"
"Varying V, Fixed E","870","1578125.0"
"Varying V, Fixed E","871","1586453.0"
"Varying V, Fixed E","872","1606294.0"
"Varying V, Fixed E","873","1700083.0"
"Varying V, Fixed E","874","1604811.0"
"Varying V, Fixed E","875","1718979.0"
"Varying V, Fixed E","876","1606942.0"
"Varying V, Fixed E","877","1573645.0"
"Varying V, Fixed E","878","1615959.0"
"Varying V, Fixed E","879","1691750.0"
"Varying V, Fixed E","880","1701164.0"
"Varying V, Fixed E","881","1784712.0"
"Varying V, Fixed E","882","1695836.0"
"Varying V, Fixed E","883","1619961.0"
"Varying V, Fixed E","884","1648479.0"
"Varying V, Fixed E","885","1627582.0"
"Varying V, Fixed E","886","1661591.0"
"Varying V, Fixed E","887","1655072.0"
"Varying V, Fixed E","888","1640125.0"
"Varying V, Fixed E","889","1683866.0"
"Varying V, Fixed E","890","1655919.0"
"Varying V, Fixed E","891","1626187.0"
"Varying V, Fixed E","892","1647209.0"
"Varying V, Fixed E","893","1655684.0"
"Varying V, Fixed E","894","1662246.0"
"Varying V, Fixed E","895","1694606.0"
"Varying V, Fixed E","896","1629330.0"
"Varying V, Fixed E","897","1676071.0"
"Varying V, Fixed E","898","1677536.0"
"Varying V, Fixed E","899","1670910.0"
"Varying V, Fixed E","900","1705534.0"
"Varying V, Fixed E","901","1720787.0"
"Varying V, Fixed E","902","1704712.0"
"Varying V, Fixed E","903","1823604.0"
"Varying V, Fixed E","904","1700374.0"
"Varying V, Fixed E","905","1734974.0"
"Varying V, Fixed E","906","1707568.0"
"Varying V, Fixed E","907","1841267.0"
"Varying V, Fixed E","908","1748311.0"
"Varying V, Fixed E","909","1802831.0"
"Varying V, Fixed E","910","1790425.0"
"Varying V, Fixed E","911","1798740.0"
"Varying V, Fixed E","912","1749239.0"
"Varying V, Fixed E","913","1770635.0"
"Varying V, Fixed E","914","1797023.0"
"Varying V, Fixed E","915","1816556.0"
"Varying V, Fixed E","916","2000332.0"
"Varying V, Fixed E","917","1994297.0"
"Varying V, Fixed E","918","1853646.0"
"Varying V, Fixed E","919","1789060.0"
"Varying V, Fixed E","920","1781472.0"
"Varying V, Fixed E","921","1800945.0"
"Varying V, Fixed E","922","1780844.0"
"Varying V, Fixed E","923","1872874.0"
"Varying V, Fixed E","924","1784989.0"
"Varying V, Fixed E","925","1806797.0"
"Varying V, Fixed E","926","1859449.0"
"Varying V, Fixed E","927","1814257.0"
"Varying V, Fixed E","928","1800583.0"
"Varying V, Fixed E","929","1830602.0"
"Varying V, Fixed E","930","1882188.0"
"Varying V, Fixed E","931","1802724.0"
"Varying V, Fixed E","932","1815938.0"
"Varying V, Fixed E","933","1800394.0"
"Varying V, Fixed E","934","1784200.0"
"Varying V, Fixed E","935","1826764.0"
"Varying V, Fixed E","936","1823170.0"
"Varying V, Fixed E","937","1814793.0"
"Varying V, Fixed E","938","1940502.0"
"Varying V, Fixed E","939","1855854.0"
"Varying V, Fixed E","940","1856815.0"
"Varying V, Fixed E","941","1901968.0"
"Varying V, Fixed E","942","1893835.0"
"Varying V, Fixed E","943","1898798.0"
"Varying V, Fixed E","944","1901368.0"
"Varying V, Fixed E","945","1914742.0"
"Varying V, Fixed E","946","1904245.0"
"Varying V, Fixed E","947","1921388.0"
"Varying V, Fixed E","948","1910938.0"
"Varying V, Fixed E","949","1922940.0"
"Varying V, Fixed E","950","1901910.0"
"Varying V, Fixed E","951","1989334.0"
"Varying V, Fixed E","952","1982371.0"
"Varying V, Fixed E","953","1960998.0"
"Varying V, Fixed E","954","1945133.0"
"Varying V, Fixed E","955","1968267.0"
"Varying V, Fixed E","956","2117246.0"
"Varying V, Fixed E","957","2202824.0"
"Varying V, Fixed E","958","1957720.0"
"Varying V, Fixed E","959","2033704.0"
"Varying V, Fixed E","960","1990321.0"
"Varying V, Fixed E","961","1994350.0"
"Varying V, Fixed E","962","1926960.0"
"Varying V, Fixed E","963","1946237.0"
"Varying V, Fixed E","964","2018806.0"
"Varying V, Fixed E","965","1979846.0"
"Varying V, Fixed E","966","1976869.0"
"Varying V, Fixed E","967","2147920.0"
"Varying V, Fixed E","968","2043131.0"
"Varying V, Fixed E","969","2090424.0"
"Varying V, Fixed E","970","2061710.0"
"Varying V, Fixed E","971","2042335.0"
"Varying V, Fixed E","972","2041293.0"
"Varying V, Fixed E","973","2039362.0"
"Varying V, Fixed E","974","2064831.0"
"Varying V, Fixed E","975","2081669.0"
"Varying V, Fixed E","976","2052298.0"
"Varying V, Fixed E","977","2085544.0"
"Varying V, Fixed E","978","2106479.0"
"Varying V, Fixed E","979","2156124.0"
"Varying V, Fixed E","980","2093695.0"
"Varying V, Fixed E","981","2080595.0"
"Varying V, Fixed E","982","2095846.0"
"Varying V, Fixed E","983","2092994.0"
"Varying V, Fixed E","984","2084525.0"
"Varying V, Fixed E","985","2166558.0"
"Varying V, Fixed E","986","2144392.0"
"Varying V, Fixed E","987","2231229.0"
"Varying V, Fixed E","988","2167371.0"
"Varying V, Fixed E","989","2124922.0"
"Varying V, Fixed E","990","2094367.0"
"Varying V, Fixed E","991","2270687.0"
"Varying V, Fixed E","992","2216770.0"
"Varying V, Fixed E","993","2165808.0"
"Varying V, Fixed E","994","2166836.0"
"Varying V, Fixed E","995","2128657.0"
"Varying V, Fixed E","996","2097448.0"
"Varying V, Fixed E","997","2147392.0"
"Varying V, Fixed E","998","2182177.0"
"Varying V, Fixed E","999","2161069.0"
"Varying V, Fixed E","1000","2205784.0"
