Tick,ready list,current thread,Timer Interrupt triggered,Thread completion,Context switch
40,"child1, child2, child3",main,Timer interrupt scheduled at 80,,main -> child1
50,"child2, child3, main",child1,Timer interrupt reset to 90,Thread 1 Completed,child1 -> child2
60,,,,,
70,,,,,
110,,,,,
120,,,,,
130,,,,,
140,,,,,
180,,,,,
190,,,,,
200,,,,,
210,,,,,
220,,,,,
