"S value","Time taken"
"0","1.0747238095238094"
"1","0.8289714285714285"
"2","0.8377238095238095"
"3","0.7335285714285715"
"4","0.7427904761904763"
"5","0.7281190476190476"
"6","0.7152380952380952"
"7","0.6561619047619047"
"8","0.5789047619047619"
"9","0.5430333333333331"
"10","0.5307904761904763"
"11","0.42350000000000004"
"12","0.24469047619047615"
"13","0.2476809523809524"
"14","0.3142285714285714"
"15","0.12480952380952381"
"16","0.09196190476190477"
"17","0.08625238095238093"
"18","0.0861809523809524"
"19","0.08487619047619045"
"20","0.08516666666666665"
"21","0.08809523809523809"
"22","0.08447142857142856"
"23","0.08536666666666667"
"24","0.0849142857142857"
"25","0.08596190476190478"
"26","0.08545238095238096"
"27","0.09093333333333332"
"28","0.08575238095238095"
"29","0.08417619047619047"
"30","0.07948571428571428"
"31","0.07553333333333333"
"32","0.07496190476190477"
"33","0.07442380952380953"
"34","0.07642857142857143"
"35","0.07555238095238094"
"36","0.07885238095238095"
"37","0.07599523809523809"
"38","0.0743142857142857"
"39","0.07623809523809526"
"40","0.0753047619047619"
"41","0.07547142857142858"
"42","0.0751047619047619"
"43","0.07559047619047618"
"44","0.07400952380952382"
"45","0.0742190476190476"
"46","0.07325238095238096"
"47","0.0752"
"48","0.07377142857142857"
"49","0.07474761904761905"
"50","0.07412380952380952"
"51","0.07224285714285716"
"52","0.07114761904761907"
"53","0.07051428571428572"
"54","0.07041904761904762"
"55","0.07285714285714287"
"56","0.07290476190476192"
"57","0.07259999999999998"
"58","0.07517619047619048"
"59","0.07223333333333334"
"60","0.07175714285714285"
"61","0.0726"
"62","0.07409047619047619"
"63","0.07334761904761905"
"64","0.07173809523809523"
"65","0.0718142857142857"
"66","0.07286666666666669"
"67","0.07133333333333332"
"68","0.0724142857142857"
"69","0.07238095238095239"
"70","0.0748761904761905"
"71","0.07341428571428572"
"72","0.07383333333333332"
"73","0.07478095238095238"
"74","0.07183333333333335"
"75","0.07359523809523809"
"76","0.07289047619047619"
"77","0.07376666666666666"
"78","0.07467142857142857"
"79","0.07235714285714286"
"80","0.07242380952380952"
"81","0.07092380952380953"
"82","0.07150952380952383"
"83","0.07342380952380954"
"84","0.07218571428571428"
"85","0.07320476190476191"
"86","0.07236190476190475"
"87","0.0716238095238095"
"88","0.07230000000000002"
"89","0.07197142857142856"
"90","0.07096190476190477"
"91","0.06987142857142857"
"92","0.06946666666666669"
"93","0.06971904761904762"
"94","0.06944761904761905"
"95","0.06901904761904762"
"96","0.06987142857142857"
"97","0.06984761904761905"
"98","0.06891904761904762"
"99","0.06984285714285716"
"100","0.08033333333333333"
"101","0.07112380952380952"
"102","0.07030476190476191"
"103","0.07267619047619046"
"104","0.07095714285714286"
"105","0.07027142857142857"
"106","0.08196190476190478"
"107","0.07217142857142857"
"108","0.07214285714285713"
"109","0.07367619047619049"
"110","0.08126666666666667"
"111","0.07326190476190478"
"112","0.07468571428571429"
"113","0.07632380952380953"
"114","0.07569047619047618"
"115","0.07470952380952382"
"116","0.07394761904761907"
"117","0.07524761904761905"
"118","0.07507142857142857"
"119","0.07724285714285713"
"120","0.08126666666666667"
"121","0.07606666666666666"
"122","0.07313333333333334"
"123","0.07390476190476189"
"124","0.08839047619047619"
"125","0.08530952380952381"
"126","0.08385714285714287"
"127","0.08198095238095236"
"128","0.08238571428571428"
"129","0.08031904761904762"
"130","0.08216666666666667"
"131","0.08013333333333333"
"132","0.07993333333333333"
"133","0.0811904761904762"
"134","0.08029047619047619"
"135","0.08040952380952382"
"136","0.08004285714285717"
"137","0.09721428571428571"
"138","0.08140476190476191"
"139","0.0816"
"140","0.0815095238095238"
"141","0.08163809523809523"
"142","0.08054761904761905"
"143","0.08237142857142855"
"144","0.08451904761904763"
"145","0.0918"
"146","0.08117142857142856"
"147","0.08246190476190476"
"148","0.0791142857142857"
"149","0.07940476190476192"
"150","0.08215714285714287"
"151","0.07948095238095239"
"152","0.08020952380952381"
"153","0.08257619047619047"
"154","0.09543809523809522"
"155","0.0837238095238095"
"156","0.08645238095238095"
"157","0.08484761904761905"
"158","0.08404761904761905"
"159","0.08227619047619047"
"160","0.08089999999999999"
"161","0.08394285714285714"
"162","0.08973333333333332"
"163","0.08348095238095238"
"164","0.08477619047619048"
"165","0.08447619047619047"
"166","0.08426190476190476"
"167","0.08823809523809524"
"168","0.09046190476190477"
"169","0.09267619047619047"
"170","0.08911428571428572"
"171","0.08815714285714284"
"172","0.0896"
"173","0.08786666666666668"
"174","0.08559523809523811"
"175","0.08570952380952382"
"176","0.08429523809523808"
"177","0.24798095238095239"
"178","0.3184571428571428"
"179","0.16269523809523811"
"180","0.0823142857142857"
"181","0.09155714285714285"
"182","0.24469523809523808"
"183","0.08293333333333335"
"184","0.08429523809523809"
"185","0.09158571428571428"
"186","0.08196666666666669"
"187","0.08362857142857144"
"188","0.08187142857142857"
"189","0.08319523809523809"
"190","0.08295238095238094"
"191","0.08205238095238095"
"192","0.08174761904761906"
"193","0.0833809523809524"
"194","0.08379047619047618"
"195","0.08243333333333333"
"196","0.08417619047619046"
"197","0.08927142857142857"
"198","0.07991428571428572"
"199","0.07840952380952382"
"200","0.08461904761904761"
"201","0.07778571428571429"
"202","0.07767619047619045"
"203","0.07857619047619048"
"204","0.0798047619047619"
"205","0.07778095238095238"
"206","0.07832857142857143"
"207","0.07797619047619049"
"208","0.08286666666666667"
"209","0.07946666666666667"
"210","0.08357619047619048"
"211","0.07850952380952382"
"212","0.07983809523809524"
"213","0.07825238095238095"
"214","0.08768095238095239"
"215","0.07838571428571425"
"216","0.0798095238095238"
