"S value","Time taken"
"0","685.7619047619048"
"1","647.1428571428572"
"2","633.8095238095239"
"3","634.4761904761905"
"4","613.0476190476192"
"5","600.190476190476"
"6","611.5238095238096"
"7","600.2857142857143"
"8","602.5238095238096"
"9","589.0952380952382"
"10","578.7142857142856"
"11","569.8095238095237"
"12","569.047619047619"
"13","572.047619047619"
"14","576.6190476190477"
"15","574.952380952381"
"16","575.0000000000001"
"17","565.2857142857141"
"18","598.8095238095239"
"19","603.1904761904763"
"20","571.4761904761904"
"21","565.3333333333334"
"22","571.2857142857143"
"23","565.952380952381"
"24","558.095238095238"
"25","574.952380952381"
"26","559.2857142857143"
"27","574.3333333333333"
"28","567.4285714285712"
"29","569.1428571428572"
"30","577.8571428571428"
"31","560.1428571428571"
"32","585.4761904761905"
"33","561.5714285714286"
"34","568.2380952380953"
"35","552.7142857142857"
"36","548.1904761904763"
"37","552.0"
"38","551.1428571428572"
"39","575.8095238095239"
"40","568.9999999999999"
"41","560.1904761904761"
"42","543.0476190476192"
"43","589.047619047619"
"44","570.6666666666666"
"45","551.7619047619048"
"46","550.6190476190476"
"47","570.4761904761905"
"48","557.1428571428572"
"49","562.3809523809524"
"50","537.1904761904761"
"51","550.3809523809524"
"52","567.5238095238095"
"53","569.8095238095239"
"54","558.6190476190477"
"55","556.4285714285714"
"56","559.3809523809523"
"57","552.4761904761905"
"58","554.3333333333334"
"59","563.0952380952382"
"60","564.4761904761906"
"61","557.1904761904761"
"62","572.0"
"63","555.7619047619047"
"64","562.952380952381"
"65","559.3809523809522"
"66","580.2857142857143"
"67","558.5714285714287"
"68","563.2857142857142"
"69","563.1428571428572"
"70","566.7619047619048"
"71","556.4761904761905"
"72","550.4285714285713"
"73","556.4285714285714"
"74","572.857142857143"
"75","560.142857142857"
"76","554.7619047619048"
"77","551.2857142857141"
"78","569.8095238095236"
"79","571.1904761904761"
"80","567.6666666666666"
"81","551.1428571428571"
"82","581.7142857142857"
"83","567.6666666666665"
"84","599.4761904761905"
"85","618.2380952380952"
"86","602.4761904761905"
"87","614.2857142857141"
"88","611.5714285714284"
"89","618.9523809523807"
"90","635.2857142857142"
"91","598.8095238095239"
"92","607.0476190476192"
"93","624.8095238095236"
"94","611.5238095238096"
"95","607.7142857142856"
"96","596.6666666666667"
"97","635.9047619047618"
"98","607.1428571428572"
"99","611.4285714285713"
"100","597.3333333333333"
"101","600.2857142857143"
"102","629.2380952380954"
"103","616.8095238095239"
"104","613.5238095238095"
"105","601.8095238095239"
"106","610.6666666666666"
"107","600.3333333333334"
"108","629.2380952380954"
"109","608.5238095238096"
"110","605.4761904761904"
"111","627.904761904762"
"112","602.3333333333334"
"113","621.3333333333333"
"114","612.1904761904763"
"115","612.1904761904761"
"116","618.2857142857142"
"117","640.3809523809523"
"118","605.5238095238094"
"119","617.5238095238095"
"120","604.8571428571429"
"121","619.5714285714284"
"122","607.7142857142857"
"123","607.7619047619047"
"124","604.0476190476192"
"125","621.2857142857141"
"126","633.7619047619048"
"127","632.9523809523811"
"128","622.7142857142857"
"129","606.2380952380952"
"130","616.6190476190475"
"131","616.7142857142857"
"132","608.4761904761904"
"133","624.8571428571429"
"134","626.5238095238094"
"135","593.4761904761905"
"136","624.047619047619"
"137","631.6190476190476"
"138","629.9999999999998"
"139","630.7142857142857"
"140","633.8571428571428"
"141","606.2380952380952"
"142","609.0952380952382"
"143","645.8095238095239"
"144","617.3809523809524"
"145","627.0"
"146","624.7619047619048"
"147","607.7619047619047"
"148","636.7619047619048"
"149","639.7619047619047"
"150","628.4761904761904"
"151","641.4285714285714"
"152","627.0"
"153","653.9047619047618"
"154","618.7619047619047"
"155","627.2380952380951"
"156","634.4285714285714"
"157","637.5714285714286"
"158","627.1428571428572"
"159","635.9047619047617"
"160","637.5238095238095"
"161","632.2857142857143"
"162","650.8571428571429"
"163","642.0"
"164","644.8095238095239"
"165","652.4761904761904"
"166","643.5238095238096"
"167","624.0"
"168","638.1904761904761"
"169","647.2857142857143"
"170","694.7619047619048"
"171","727.3333333333335"
"172","721.6666666666665"
"173","711.7619047619048"
"174","702.1904761904763"
"175","726.7619047619047"
"176","734.9523809523811"
"177","737.9047619047618"
"178","714.7619047619047"
"179","731.4285714285714"
"180","729.5714285714284"
"181","715.6190476190475"
"182","718.7142857142857"
"183","714.6666666666666"
"184","704.6190476190475"
"185","688.8095238095237"
"186","732.6190476190475"
"187","706.5714285714287"
"188","729.0"
"189","717.095238095238"
"190","704.4285714285713"
"191","726.0476190476192"
"192","719.3333333333333"
"193","704.4285714285712"
"194","704.4761904761906"
"195","716.3809523809523"
"196","692.5238095238095"
"197","710.3809523809524"
"198","702.190476190476"
"199","715.4761904761903"
"200","710.5238095238096"
"201","694.7619047619048"
"202","708.2380952380953"
"203","705.7619047619047"
"204","716.3809523809522"
"205","693.2857142857143"
"206","708.3333333333334"
"207","685.8095238095239"
"208","697.5714285714286"
"209","705.9047619047618"
"210","709.857142857143"
"211","697.5714285714284"
"212","680.7142857142857"
"213","675.3809523809524"
"214","679.952380952381"
"215","682.8571428571429"
"216","691.0476190476189"
"217","655.3333333333334"
"218","688.8095238095239"
"219","678.2857142857142"
"220","659.9047619047618"
"221","687.2857142857142"
"222","688.0476190476192"
"223","669.4285714285714"
"224","645.0476190476192"
"225","657.5714285714286"
"226","677.0"
"227","658.2380952380952"
"228","668.7142857142857"
"229","662.7619047619048"
"230","677.5238095238095"
"231","679.904761904762"
"232","664.3333333333334"
"233","657.5238095238093"
"234","664.3809523809523"
"235","657.6190476190476"
"236","655.3333333333335"
"237","633.6666666666666"
"238","653.1428571428572"
"239","651.6666666666667"
"240","639.8095238095239"
"241","667.1428571428571"
"242","624.7142857142859"
"243","636.9523809523812"
"244","650.8571428571429"
"245","642.0952380952381"
"246","629.9047619047617"
"247","634.4285714285713"
"248","655.9999999999999"
"249","639.0476190476193"
