"S value","Time taken"
"0","1878.142857142857"
"1","1787.6190476190475"
"2","1738.3333333333333"
"3","1664.047619047619"
"4","1690.7142857142858"
"5","1666.3333333333335"
"6","1643.2857142857142"
"7","1635.8571428571427"
"8","1640.9523809523807"
"9","1640.2380952380952"
"10","1631.2380952380956"
"11","1630.5238095238094"
"12","1629.8095238095239"
"13","1577.809523809524"
"14","1544.2857142857144"
"15","1605.2857142857142"
"16","1596.904761904762"
"17","1591.0476190476188"
"18","1587.5714285714287"
"19","1593.9047619047622"
"20","1569.714285714286"
"21","1554.7619047619046"
"22","1553.2380952380952"
"23","1586.6666666666665"
"24","1623.095238095238"
"25","1587.5238095238099"
"26","1588.1904761904761"
"27","1542.0952380952383"
"28","1552.3333333333333"
"29","1561.4761904761908"
"30","1534.7142857142858"
"31","1527.7619047619046"
"32","1588.142857142857"
"33","1553.9047619047622"
"34","1550.9999999999998"
"35","1536.1904761904764"
"36","1541.2380952380952"
"37","1576.2857142857142"
"38","1548.8571428571427"
"39","1536.1428571428573"
"40","1529.3809523809523"
"41","1549.4761904761904"
"42","1565.7619047619046"
"43","1568.0952380952378"
"44","1542.7619047619046"
"45","1548.0"
"46","1564.2857142857142"
"47","1555.4285714285713"
"48","1517.5238095238096"
"49","1553.2380952380954"
"50","1547.904761904762"
"51","1553.904761904762"
"52","1527.238095238095"
"53","1565.142857142857"
"54","1626.0"
"55","1636.6666666666667"
"56","1588.0"
"57","1619.3809523809525"
"58","1593.2857142857142"
"59","1619.6190476190477"
"60","1590.904761904762"
"61","1611.1428571428573"
"62","1579.2380952380956"
"63","1603.0000000000002"
"64","1603.5714285714287"
"65","1577.095238095238"
"66","1610.5238095238096"
"67","1607.3809523809525"
"68","1592.095238095238"
"69","1628.1428571428576"
"70","1591.142857142857"
"71","1590.2857142857142"
"72","1601.5714285714287"
"73","1611.2857142857142"
"74","1592.571428571429"
"75","1597.095238095238"
"76","1602.952380952381"
"77","1645.5714285714287"
"78","1640.2857142857142"
"79","1594.904761904762"
"80","1589.5238095238094"
"81","1605.3333333333335"
"82","1603.095238095238"
"83","1596.9047619047617"
"84","1606.761904761905"
"85","1586.619047619048"
"86","1609.7619047619048"
"87","1579.142857142857"
"88","1598.4761904761904"
"89","1624.0"
"90","1599.4761904761904"
"91","1625.238095238095"
"92","1681.2857142857142"
"93","1623.952380952381"
"94","1640.9047619047617"
"95","1607.5714285714287"
"96","1610.4761904761906"
"97","1667.047619047619"
"98","1613.3809523809523"
"99","1597.6190476190477"
"100","1585.1904761904761"
"101","1653.0"
"102","1620.0476190476188"
"103","1589.0476190476188"
"104","1620.8571428571427"
"105","1611.142857142857"
"106","1610.4285714285716"
"107","1603.0"
"108","1621.5238095238096"
"109","1740.0000000000002"
"110","1675.3333333333335"
"111","1691.6190476190477"
"112","1679.4761904761906"
"113","1694.4761904761904"
"114","1702.6190476190475"
"115","1692.3809523809523"
"116","1719.9523809523812"
"117","1708.4285714285713"
"118","1702.904761904762"
"119","1707.857142857143"
"120","1697.5238095238096"
"121","1692.857142857143"
"122","1674.3809523809525"
"123","1710.2857142857147"
"124","1682.5238095238094"
"125","1685.4761904761904"
"126","1686.1904761904764"
"127","1684.095238095238"
"128","1702.6666666666667"
"129","1730.952380952381"
"130","1716.7619047619048"
"131","1714.5238095238094"
"132","1670.047619047619"
"133","1702.428571428571"
"134","1686.4285714285713"
"135","1687.9523809523812"
"136","1672.1904761904764"
"137","1689.3809523809523"
"138","1675.2857142857142"
"139","1661.9047619047617"
"140","1656.4285714285716"
"141","1666.952380952381"
"142","1696.904761904762"
"143","1679.6190476190477"
"144","1689.2380952380952"
"145","1708.6666666666667"
"146","1679.0000000000002"
"147","1723.4285714285716"
"148","1689.3809523809525"
"149","1652.047619047619"
"150","1708.6666666666665"
"151","1701.1904761904761"
"152","1699.7142857142858"
"153","1670.6666666666665"
"154","1699.857142857143"
"155","1671.3809523809525"
"156","1670.095238095238"
"157","1629.0000000000002"
"158","1708.0"
"159","1695.9523809523812"
"160","1692.9523809523812"
"161","1689.2380952380952"
"162","1691.4761904761904"
"163","1674.5238095238099"
"164","1678.2380952380954"
"165","1678.8095238095236"
"166","1638.7619047619048"
"167","1696.7619047619046"
"168","1690.809523809524"
"169","1673.0476190476188"
"170","1706.3809523809523"
"171","1729.5238095238094"
"172","1722.0476190476188"
"173","1717.6190476190475"
"174","1722.7142857142858"
"175","1723.6190476190475"
"176","1714.6190476190477"
"177","1699.8095238095236"
"178","1727.2857142857144"
"179","1675.8095238095236"
"180","1681.3333333333333"
"181","1695.9999999999998"
"182","1690.047619047619"
"183","1707.9047619047617"
"184","1660.3809523809525"
"185","1691.619047619048"
"186","1683.2857142857142"
"187","1702.047619047619"
"188","1684.047619047619"
"189","1701.9523809523805"
"190","1699.7619047619048"
"191","1681.904761904762"
"192","1684.2380952380952"
"193","1676.5238095238092"
"194","1700.5238095238094"
"195","1717.4761904761904"
"196","1696.7142857142858"
"197","1691.6190476190475"
"198","1716.047619047619"
"199","1712.4761904761906"
"200","1731.6666666666667"
"201","1659.6666666666665"
"202","1659.6666666666667"
"203","1665.3333333333335"
"204","1700.6190476190477"
"205","1699.0952380952378"
"206","1695.2380952380954"
"207","1699.7142857142856"
"208","1680.2857142857142"
"209","1692.4285714285716"
"210","1682.5714285714284"
"211","1641.7142857142856"
"212","1642.4761904761906"
"213","1669.2380952380952"
"214","1682.6190476190473"
"215","1692.3809523809525"
"216","1629.7619047619046"
"217","1625.2857142857142"
"218","1789.7142857142856"
"219","2073.0"
"220","2087.333333333333"
"221","2099.952380952381"
"222","2102.2380952380954"
"223","2108.9523809523807"
"224","2111.0"
"225","2126.047619047619"
"226","2106.7142857142853"
"227","2171.3333333333335"
"228","2093.142857142858"
"229","2087.4761904761904"
"230","2100.904761904762"
"231","2133.3333333333335"
"232","2085.761904761904"
"233","2086.523809523809"
"234","2110.428571428571"
"235","2044.9523809523812"
"236","2097.6666666666665"
"237","2027.0476190476188"
"238","2000.142857142857"
"239","2080.6666666666665"
"240","2049.2857142857138"
"241","2043.3809523809525"
"242","2064.2857142857138"
"243","2079.0952380952376"
"244","2048.6190476190477"
"245","2056.0"
"246","2069.3809523809523"
"247","1987.047619047619"
"248","2040.3809523809523"
"249","2047.142857142857"
