"S value","Number of Comparisons"
"0","5.5450941238095246E7"
"1","5.5450941238095246E7"
"2","5.5451005571428575E7"
"3","5.5451005571428575E7"
"4","5.5640696E7"
"5","5.585897866666666E7"
"6","5.585897866666666E7"
"7","5.585897866666666E7"
"8","5.585897866666666E7"
"9","5.633963390476191E7"
"10","5.767114928571429E7"
"11","5.767114928571429E7"
"12","5.767114928571429E7"
"13","5.767114928571429E7"
"14","5.767114928571429E7"
"15","5.767114928571429E7"
"16","5.767114928571429E7"
"17","5.767114928571429E7"
"18","5.767114928571429E7"
"19","5.767114928571429E7"
"20","6.083134942857142E7"
"21","6.288887919047619E7"
"22","6.288887919047619E7"
"23","6.288887919047619E7"
"24","6.288887919047619E7"
"25","6.288887919047619E7"
"26","6.288887919047619E7"
"27","6.288887919047619E7"
"28","6.288887919047619E7"
"29","6.288887919047619E7"
"30","6.288887919047619E7"
"31","6.288887919047619E7"
"32","6.288887919047619E7"
"33","6.288887919047619E7"
"34","6.288887919047619E7"
"35","6.288887919047619E7"
"36","6.288887919047619E7"
"37","6.288887919047619E7"
"38","6.288887919047619E7"
"39","6.288887919047619E7"
"40","6.288887919047619E7"
"41","6.606849147619048E7"
"42","7.536765633333333E7"
"43","7.536765633333333E7"
"44","7.536765633333333E7"
"45","7.536765633333333E7"
"46","7.536765633333333E7"
"47","7.536765633333333E7"
"48","7.536765633333333E7"
"49","7.536765633333333E7"
"50","7.536765633333333E7"
"51","7.536765633333333E7"
"52","7.536765633333333E7"
"53","7.536765633333333E7"
"54","7.536765633333333E7"
"55","7.536765633333333E7"
"56","7.536765633333333E7"
"57","7.536765633333333E7"
"58","7.536765633333333E7"
"59","7.536765633333333E7"
"60","7.536765633333333E7"
"61","7.536765633333333E7"
"62","7.536765633333333E7"
"63","7.536765633333333E7"
"64","7.536765633333333E7"
"65","7.536765633333333E7"
"66","7.536765633333333E7"
"67","7.536765633333333E7"
"68","7.536765633333333E7"
"69","7.536765633333333E7"
"70","7.536765633333333E7"
"71","7.536765633333333E7"
"72","7.536765633333333E7"
"73","7.536765633333333E7"
"74","7.536765633333333E7"
"75","7.536765633333333E7"
"76","7.536765633333333E7"
"77","7.536765633333333E7"
"78","7.536765633333333E7"
"79","7.536765633333333E7"
"80","7.536765633333333E7"
"81","7.536765633333333E7"
"82","7.536765633333333E7"
"83","7.536765633333333E7"
"84","8.963495476190478E7"
"85","1.0266633971428572E8"
"86","1.0266633971428572E8"
"87","1.0266633971428572E8"
"88","1.0266633971428572E8"
"89","1.0266633971428572E8"
"90","1.0266633971428572E8"
"91","1.0266633971428572E8"
"92","1.0266633971428572E8"
"93","1.0266633971428572E8"
"94","1.0266633971428572E8"
"95","1.0266633971428572E8"
"96","1.0266633971428572E8"
"97","1.0266633971428572E8"
"98","1.0266633971428572E8"
"99","1.0266633971428572E8"
"100","1.0266633971428572E8"
"101","1.0266633971428572E8"
"102","1.0266633971428572E8"
"103","1.0266633971428572E8"
"104","1.0266633971428572E8"
"105","1.0266633971428572E8"
"106","1.0266633971428572E8"
"107","1.0266633971428572E8"
"108","1.0266633971428572E8"
"109","1.0266633971428572E8"
"110","1.0266633971428572E8"
"111","1.0266633971428572E8"
"112","1.0266633971428572E8"
"113","1.0266633971428572E8"
"114","1.0266633971428572E8"
"115","1.0266633971428572E8"
"116","1.0266633971428572E8"
"117","1.0266633971428572E8"
"118","1.0266633971428572E8"
"119","1.0266633971428572E8"
"120","1.0266633971428572E8"
"121","1.0266633971428572E8"
"122","1.0266633971428572E8"
"123","1.0266633971428572E8"
"124","1.0266633971428572E8"
"125","1.0266633971428572E8"
"126","1.0266633971428572E8"
"127","1.0266633971428572E8"
"128","1.0266633971428572E8"
"129","1.0266633971428572E8"
"130","1.0266633971428572E8"
"131","1.0266633971428572E8"
"132","1.0266633971428572E8"
"133","1.0266633971428572E8"
"134","1.0266633971428572E8"
"135","1.0266633971428572E8"
"136","1.0266633971428572E8"
"137","1.0266633971428572E8"
"138","1.0266633971428572E8"
"139","1.0266633971428572E8"
"140","1.0266633971428572E8"
"141","1.0266633971428572E8"
"142","1.0266633971428572E8"
"143","1.0266633971428572E8"
"144","1.0266633971428572E8"
"145","1.0266633971428572E8"
"146","1.0266633971428572E8"
"147","1.0266633971428572E8"
"148","1.0266633971428572E8"
"149","1.0266633971428572E8"
"150","1.0266633971428572E8"
"151","1.0266633971428572E8"
"152","1.0266633971428572E8"
"153","1.0266633971428572E8"
"154","1.0266633971428572E8"
"155","1.0266633971428572E8"
"156","1.0266633971428572E8"
"157","1.0266633971428572E8"
"158","1.0266633971428572E8"
"159","1.0266633971428572E8"
"160","1.0266633971428572E8"
"161","1.0266633971428572E8"
"162","1.0266633971428572E8"
"163","1.0266633971428572E8"
"164","1.0266633971428572E8"
"165","1.0266633971428572E8"
"166","1.0266633971428572E8"
"167","1.0266633971428572E8"
"168","1.0266633971428572E8"
"169","1.05921351E8"
"170","1.5980579999999997E8"
"171","1.5980579999999997E8"
"172","1.5980579999999997E8"
"173","1.5980579999999997E8"
"174","1.5980579999999997E8"
"175","1.5980579999999997E8"
