"S value","Number of Comparisons"
"0","1.1648067990476191E8"
"1","1.1648067990476191E8"
"2","1.1648087914285713E8"
"3","1.1648087914285713E8"
"4","1.1686074566666667E8"
"5","1.172962799047619E8"
"6","1.172962799047619E8"
"7","1.172962799047619E8"
"8","1.172962799047619E8"
"9","1.1826414376190475E8"
"10","1.2092181642857143E8"
"11","1.2092181642857143E8"
"12","1.2092181642857143E8"
"13","1.2092181642857143E8"
"14","1.2092181642857143E8"
"15","1.2092181642857143E8"
"16","1.2092181642857143E8"
"17","1.2092181642857143E8"
"18","1.2092181642857143E8"
"19","1.2092181642857143E8"
"20","1.2728062219047621E8"
"21","1.3135518123809522E8"
"22","1.3135518123809522E8"
"23","1.3135518123809522E8"
"24","1.3135518123809522E8"
"25","1.3135518123809522E8"
"26","1.3135518123809522E8"
"27","1.3135518123809522E8"
"28","1.3135518123809522E8"
"29","1.3135518123809522E8"
"30","1.3135518123809522E8"
"31","1.3135518123809522E8"
"32","1.3135518123809522E8"
"33","1.3135518123809522E8"
"34","1.3135518123809522E8"
"35","1.3135518123809522E8"
"36","1.3135518123809522E8"
"37","1.3135518123809522E8"
"38","1.3135518123809522E8"
"39","1.3135518123809522E8"
"40","1.3135518123809522E8"
"41","1.3789754823809525E8"
"42","1.5630447123809522E8"
"43","1.5630447123809522E8"
"44","1.5630447123809522E8"
"45","1.5630447123809522E8"
"46","1.5630447123809522E8"
"47","1.5630447123809522E8"
"48","1.5630447123809522E8"
"49","1.5630447123809522E8"
"50","1.5630447123809522E8"
"51","1.5630447123809522E8"
"52","1.5630447123809522E8"
"53","1.5630447123809522E8"
"54","1.5630447123809522E8"
"55","1.5630447123809522E8"
"56","1.5630447123809522E8"
"57","1.5630447123809522E8"
"58","1.5630447123809522E8"
"59","1.5630447123809522E8"
"60","1.5630447123809522E8"
"61","1.5630447123809522E8"
"62","1.5630447123809522E8"
"63","1.5630447123809522E8"
"64","1.5630447123809522E8"
"65","1.5630447123809522E8"
"66","1.5630447123809522E8"
"67","1.5630447123809522E8"
"68","1.5630447123809522E8"
"69","1.5630447123809522E8"
"70","1.5630447123809522E8"
"71","1.5630447123809522E8"
"72","1.5630447123809522E8"
"73","1.5630447123809522E8"
"74","1.5630447123809522E8"
"75","1.5630447123809522E8"
"76","1.5630447123809522E8"
"77","1.5630447123809522E8"
"78","1.5630447123809522E8"
"79","1.5630447123809522E8"
"80","1.5630447123809522E8"
"81","1.5630447123809522E8"
"82","1.5630447123809522E8"
"83","1.5630447123809522E8"
"84","1.856673384285714E8"
"85","2.108890563333333E8"
"86","2.108890563333333E8"
"87","2.108890563333333E8"
"88","2.108890563333333E8"
"89","2.108890563333333E8"
"90","2.108890563333333E8"
"91","2.108890563333333E8"
"92","2.108890563333333E8"
"93","2.108890563333333E8"
"94","2.108890563333333E8"
"95","2.108890563333333E8"
"96","2.108890563333333E8"
"97","2.108890563333333E8"
"98","2.108890563333333E8"
"99","2.108890563333333E8"
"100","2.108890563333333E8"
"101","2.108890563333333E8"
"102","2.108890563333333E8"
"103","2.108890563333333E8"
"104","2.108890563333333E8"
"105","2.108890563333333E8"
"106","2.108890563333333E8"
"107","2.108890563333333E8"
"108","2.108890563333333E8"
