"S value","Number of Comparisons"
"0","1.0759533323809525E8"
"1","1.0759533323809525E8"
"2","1.0759567042857142E8"
"3","1.0760623661904761E8"
"4","1.0816033076190475E8"
"5","1.0816033076190475E8"
"6","1.0816033076190475E8"
"7","1.0816033076190475E8"
"8","1.0833873323809522E8"
"9","1.1113570895238096E8"
"10","1.1113570895238096E8"
"11","1.1113570895238096E8"
"12","1.1113570895238096E8"
"13","1.1113570895238096E8"
"14","1.1113570895238096E8"
"15","1.1113570895238096E8"
"16","1.1113570895238096E8"
"17","1.1113570895238096E8"
"18","1.1240865638095237E8"
"19","1.1989696495238096E8"
"20","1.1989696495238096E8"
"21","1.1989696495238096E8"
"22","1.1989696495238096E8"
"23","1.1989696495238096E8"
"24","1.1989696495238096E8"
"25","1.1989696495238096E8"
"26","1.1989696495238096E8"
"27","1.1989696495238096E8"
"28","1.1989696495238096E8"
"29","1.1989696495238096E8"
"30","1.1989696495238096E8"
"31","1.1989696495238096E8"
"32","1.1989696495238096E8"
"33","1.1989696495238096E8"
"34","1.1989696495238096E8"
"35","1.1989696495238096E8"
"36","1.1989696495238096E8"
"37","1.1989696495238096E8"
"38","1.2650141652380954E8"
"39","1.4111947585714284E8"
"40","1.4111947585714284E8"
"41","1.4111947585714284E8"
"42","1.4111947585714284E8"
"43","1.4111947585714284E8"
"44","1.4111947585714284E8"
"45","1.4111947585714284E8"
"46","1.4111947585714284E8"
"47","1.4111947585714284E8"
"48","1.4111947585714284E8"
"49","1.4111947585714284E8"
"50","1.4111947585714284E8"
"51","1.4111947585714284E8"
"52","1.4111947585714284E8"
"53","1.4111947585714284E8"
"54","1.4111947585714284E8"
"55","1.4111947585714284E8"
"56","1.4111947585714284E8"
"57","1.4111947585714284E8"
"58","1.4111947585714284E8"
"59","1.4111947585714284E8"
"60","1.4111947585714284E8"
"61","1.4111947585714284E8"
"62","1.4111947585714284E8"
"63","1.4111947585714284E8"
"64","1.4111947585714284E8"
"65","1.4111947585714284E8"
"66","1.4111947585714284E8"
"67","1.4111947585714284E8"
"68","1.4111947585714284E8"
"69","1.4111947585714284E8"
"70","1.4111947585714284E8"
"71","1.4111947585714284E8"
"72","1.4111947585714284E8"
"73","1.4111947585714284E8"
"74","1.4111947585714284E8"
"75","1.4111947585714284E8"
"76","1.4111947585714284E8"
"77","1.4111947585714284E8"
"78","1.710790780952381E8"
"79","1.8786816452380952E8"
"80","1.8786816452380952E8"
"81","1.8786816452380952E8"
"82","1.8786816452380952E8"
"83","1.8786816452380952E8"
"84","1.8786816452380952E8"
"85","1.8786816452380952E8"
"86","1.8786816452380952E8"
"87","1.8786816452380952E8"
"88","1.8786816452380952E8"
"89","1.8786816452380952E8"
"90","1.8786816452380952E8"
"91","1.8786816452380952E8"
"92","1.8786816452380952E8"
"93","1.8786816452380952E8"
"94","1.8786816452380952E8"
"95","1.8786816452380952E8"
"96","1.8786816452380952E8"
"97","1.8786816452380952E8"
"98","1.8786816452380952E8"
"99","1.8786816452380952E8"
"100","1.8786816452380952E8"
"101","1.8786816452380952E8"
"102","1.8786816452380952E8"
"103","1.8786816452380952E8"
"104","1.8786816452380952E8"
"105","1.8786816452380952E8"
"106","1.8786816452380952E8"
"107","1.8786816452380952E8"
"108","1.8786816452380952E8"
"109","1.8786816452380952E8"
"110","1.8786816452380952E8"
"111","1.8786816452380952E8"
"112","1.8786816452380952E8"
"113","1.8786816452380952E8"
"114","1.8786816452380952E8"
"115","1.8786816452380952E8"
"116","1.8786816452380952E8"
"117","1.8786816452380952E8"
"118","1.8786816452380952E8"
"119","1.8786816452380952E8"
"120","1.8786816452380952E8"
"121","1.8786816452380952E8"
"122","1.8786816452380952E8"
"123","1.8786816452380952E8"
"124","1.8786816452380952E8"
"125","1.8786816452380952E8"
"126","1.8786816452380952E8"
"127","1.8786816452380952E8"
"128","1.8786816452380952E8"
"129","1.8786816452380952E8"
"130","1.8786816452380952E8"
"131","1.8786816452380952E8"
"132","1.8786816452380952E8"
"133","1.8786816452380952E8"
"134","1.8786816452380952E8"
"135","1.8786816452380952E8"
"136","1.8786816452380952E8"
"137","1.8786816452380952E8"
"138","1.8786816452380952E8"
"139","1.8786816452380952E8"
"140","1.8786816452380952E8"
"141","1.8786816452380952E8"
"142","1.8786816452380952E8"
"143","1.8786816452380952E8"
"144","1.8786816452380952E8"
"145","1.8786816452380952E8"
"146","1.8786816452380952E8"
"147","1.8786816452380952E8"
"148","1.8786816452380952E8"
"149","1.8786816452380952E8"
"150","1.8786816452380952E8"
"151","1.8786816452380952E8"
"152","1.8786816452380952E8"
"153","1.8786816452380952E8"
"154","1.8786816452380952E8"
"155","1.8786816452380952E8"
"156","1.8786816452380952E8"
"157","2.164621182857143E8"
"158","2.8601921385714287E8"
"159","2.8601921385714287E8"
"160","2.8601921385714287E8"
"161","2.8601921385714287E8"
"162","2.8601921385714287E8"
"163","2.8601921385714287E8"
"164","2.8601921385714287E8"
"165","2.8601921385714287E8"
"166","2.8601921385714287E8"
"167","2.8601921385714287E8"
"168","2.8601921385714287E8"
"169","2.8601921385714287E8"
"170","2.8601921385714287E8"
"171","2.8601921385714287E8"
"172","2.8601921385714287E8"
"173","2.8601921385714287E8"
"174","2.8601921385714287E8"
"175","2.8601921385714287E8"
"176","2.8601921385714287E8"
"177","2.8601921385714287E8"
"178","2.8601921385714287E8"
"179","2.8601921385714287E8"
"180","2.8601921385714287E8"
"181","2.8601921385714287E8"
"182","2.8601921385714287E8"
"183","2.8601921385714287E8"
"184","2.8601921385714287E8"
"185","2.8601921385714287E8"
"186","2.8601921385714287E8"
"187","2.8601921385714287E8"
"188","2.8601921385714287E8"
"189","2.8601921385714287E8"
"190","2.8601921385714287E8"
"191","2.8601921385714287E8"
"192","2.8601921385714287E8"
"193","2.8601921385714287E8"
"194","2.8601921385714287E8"
"195","2.8601921385714287E8"
"196","2.8601921385714287E8"
"197","2.8601921385714287E8"
"198","2.8601921385714287E8"
"199","2.8601921385714287E8"
"200","2.8601921385714287E8"
"201","2.8601921385714287E8"
"202","2.8601921385714287E8"
"203","2.8601921385714287E8"
"204","2.8601921385714287E8"
"205","2.8601921385714287E8"
"206","2.8601921385714287E8"
"207","2.8601921385714287E8"
"208","2.8601921385714287E8"
"209","2.8601921385714287E8"
"210","2.8601921385714287E8"
"211","2.8601921385714287E8"
"212","2.8601921385714287E8"
"213","2.8601921385714287E8"
"214","2.8601921385714287E8"
"215","2.8601921385714287E8"
"216","2.8601921385714287E8"
"217","2.8601921385714287E8"
"218","2.8601921385714287E8"
"219","2.8601921385714287E8"
"220","2.8601921385714287E8"
"221","2.8601921385714287E8"
"222","2.8601921385714287E8"
"223","2.8601921385714287E8"
"224","2.8601921385714287E8"
"225","2.8601921385714287E8"
"226","2.8601921385714287E8"
"227","2.8601921385714287E8"
"228","2.8601921385714287E8"
"229","2.8601921385714287E8"
"230","2.8601921385714287E8"
"231","2.8601921385714287E8"
"232","2.8601921385714287E8"
"233","2.8601921385714287E8"
"234","2.8601921385714287E8"
"235","2.8601921385714287E8"
"236","2.8601921385714287E8"
"237","2.8601921385714287E8"
"238","2.8601921385714287E8"
"239","2.8601921385714287E8"
"240","2.8601921385714287E8"
"241","2.8601921385714287E8"
"242","2.8601921385714287E8"
"243","2.8601921385714287E8"
"244","2.8601921385714287E8"
"245","2.8601921385714287E8"
"246","2.8601921385714287E8"
"247","2.8601921385714287E8"
"248","2.8601921385714287E8"
"249","2.8601921385714287E8"
