"S value","Number of Comparisons"
"0","2.0708129880952382E8"
"1","2.0708129880952382E8"
"2","2.0708130461904764E8"
"3","2.0730293690476188E8"
"4","2.0796997361904764E8"
"5","2.0796997361904764E8"
"6","2.0796997361904764E8"
"7","2.0796997361904764E8"
"8","2.116948134285714E8"
"9","2.1264037533333337E8"
"10","2.1264037533333337E8"
"11","2.1264037533333337E8"
"12","2.1264037533333337E8"
"13","2.1264037533333337E8"
"14","2.1264037533333337E8"
"15","2.1264037533333337E8"
"16","2.1264037533333337E8"
"17","2.2220567028571427E8"
"18","2.27096488E8"
"19","2.27096488E8"
"20","2.27096488E8"
"21","2.27096488E8"
"22","2.27096488E8"
"23","2.27096488E8"
"24","2.27096488E8"
"25","2.27096488E8"
"26","2.27096488E8"
"27","2.27096488E8"
"28","2.27096488E8"
"29","2.27096488E8"
"30","2.27096488E8"
"31","2.27096488E8"
"32","2.27096488E8"
"33","2.27096488E8"
"34","2.27096488E8"
"35","2.4007312380952385E8"
"36","2.6267343685714284E8"
"37","2.6267343685714284E8"
"38","2.6267343685714284E8"
"39","2.6267343685714284E8"
"40","2.6267343685714284E8"
"41","2.6267343685714284E8"
"42","2.6267343685714284E8"
"43","2.6267343685714284E8"
"44","2.6267343685714284E8"
"45","2.6267343685714284E8"
"46","2.6267343685714284E8"
"47","2.6267343685714284E8"
"48","2.6267343685714284E8"
"49","2.6267343685714284E8"
"50","2.6267343685714284E8"
"51","2.6267343685714284E8"
"52","2.6267343685714284E8"
"53","2.6267343685714284E8"
"54","2.6267343685714284E8"
"55","2.6267343685714284E8"
"56","2.6267343685714284E8"
"57","2.6267343685714284E8"
"58","2.6267343685714284E8"
"59","2.6267343685714284E8"
"60","2.6267343685714284E8"
"61","2.6267343685714284E8"
"62","2.6267343685714284E8"
"63","2.6267343685714284E8"
"64","2.6267343685714284E8"
"65","2.6267343685714284E8"
"66","2.6267343685714284E8"
"67","2.6267343685714284E8"
"68","2.6267343685714284E8"
"69","2.6267343685714284E8"
"70","2.6267343685714284E8"
"71","2.6267343685714284E8"
"72","3.2210063938095236E8"
"73","3.41678085E8"
"74","3.41678085E8"
"75","3.41678085E8"
"76","3.41678085E8"
"77","3.41678085E8"
"78","3.41678085E8"
"79","3.41678085E8"
"80","3.41678085E8"
"81","3.41678085E8"
"82","3.41678085E8"
"83","3.41678085E8"
"84","3.41678085E8"
"85","3.41678085E8"
"86","3.41678085E8"
"87","3.41678085E8"
"88","3.41678085E8"
"89","3.41678085E8"
"90","3.41678085E8"
"91","3.41678085E8"
"92","3.41678085E8"
"93","3.41678085E8"
"94","3.41678085E8"
"95","3.41678085E8"
"96","3.41678085E8"
"97","3.41678085E8"
"98","3.41678085E8"
"99","3.41678085E8"
"100","3.41678085E8"
"101","3.41678085E8"
"102","3.41678085E8"
"103","3.41678085E8"
"104","3.41678085E8"
"105","3.41678085E8"
"106","3.41678085E8"
"107","3.41678085E8"
"108","3.41678085E8"
"109","3.41678085E8"
"110","3.41678085E8"
"111","3.41678085E8"
"112","3.41678085E8"
"113","3.41678085E8"
"114","3.41678085E8"
"115","3.41678085E8"
"116","3.41678085E8"
"117","3.41678085E8"
"118","3.41678085E8"
"119","3.41678085E8"
"120","3.41678085E8"
"121","3.41678085E8"
"122","3.41678085E8"
"123","3.41678085E8"
"124","3.41678085E8"
"125","3.41678085E8"
"126","3.41678085E8"
"127","3.41678085E8"
"128","3.41678085E8"
"129","3.41678085E8"
"130","3.41678085E8"
"131","3.41678085E8"
"132","3.41678085E8"
"133","3.41678085E8"
"134","3.41678085E8"
"135","3.41678085E8"
"136","3.41678085E8"
"137","3.41678085E8"
"138","3.41678085E8"
"139","3.41678085E8"
"140","3.41678085E8"
"141","3.41678085E8"
"142","3.41678085E8"
"143","3.41678085E8"
"144","3.41678085E8"
"145","4.269022781904762E8"
"146","5.082700423333334E8"
"147","5.082700423333334E8"
"148","5.082700423333334E8"
"149","5.082700423333334E8"
"150","5.082700423333334E8"
"151","5.082700423333334E8"
"152","5.082700423333334E8"
"153","5.082700423333334E8"
"154","5.082700423333334E8"
"155","5.082700423333334E8"
"156","5.082700423333334E8"
"157","5.082700423333334E8"
"158","5.082700423333334E8"
"159","5.082700423333334E8"
"160","5.082700423333334E8"
"161","5.082700423333334E8"
"162","5.082700423333334E8"
"163","5.082700423333334E8"
"164","5.082700423333334E8"
"165","5.082700423333334E8"
"166","5.082700423333334E8"
"167","5.082700423333334E8"
"168","5.082700423333334E8"
"169","5.082700423333334E8"
"170","5.082700423333334E8"
"171","5.082700423333334E8"
"172","5.082700423333334E8"
"173","5.082700423333334E8"
"174","5.082700423333334E8"
"175","5.082700423333334E8"
"176","5.082700423333334E8"
"177","5.082700423333334E8"
"178","5.082700423333334E8"
"179","5.082700423333334E8"
"180","5.082700423333334E8"
"181","5.082700423333334E8"
"182","5.082700423333334E8"
"183","5.082700423333334E8"
"184","5.082700423333334E8"
"185","5.082700423333334E8"
"186","5.082700423333334E8"
"187","5.082700423333334E8"
"188","5.082700423333334E8"
"189","5.082700423333334E8"
"190","5.082700423333334E8"
"191","5.082700423333334E8"
"192","5.082700423333334E8"
"193","5.082700423333334E8"
"194","5.082700423333334E8"
"195","5.082700423333334E8"
"196","5.082700423333334E8"
"197","5.082700423333334E8"
"198","5.082700423333334E8"
"199","5.082700423333334E8"
"200","5.082700423333334E8"
"201","5.082700423333334E8"
"202","5.082700423333334E8"
"203","5.082700423333334E8"
"204","5.082700423333334E8"
"205","5.082700423333334E8"
"206","5.082700423333334E8"
"207","5.082700423333334E8"
"208","5.082700423333334E8"
"209","5.082700423333334E8"
"210","5.082700423333334E8"
"211","5.082700423333334E8"
"212","5.082700423333334E8"
"213","5.082700423333334E8"
"214","5.082700423333334E8"
"215","5.082700423333334E8"
"216","5.082700423333334E8"
"217","5.082700423333334E8"
"218","5.082700423333334E8"
"219","5.082700423333334E8"
"220","5.082700423333334E8"
"221","5.082700423333334E8"
"222","5.082700423333334E8"
"223","5.082700423333334E8"
"224","5.082700423333334E8"
"225","5.082700423333334E8"
"226","5.082700423333334E8"
"227","5.082700423333334E8"
"228","5.082700423333334E8"
"229","5.082700423333334E8"
"230","5.082700423333334E8"
"231","5.082700423333334E8"
"232","5.082700423333334E8"
"233","5.082700423333334E8"
"234","5.082700423333334E8"
"235","5.082700423333334E8"
"236","5.082700423333334E8"
"237","5.082700423333334E8"
"238","5.082700423333334E8"
"239","5.082700423333334E8"
"240","5.082700423333334E8"
"241","5.082700423333334E8"
"242","5.082700423333334E8"
"243","5.082700423333334E8"
"244","5.082700423333334E8"
"245","5.082700423333334E8"
"246","5.082700423333334E8"
"247","5.082700423333334E8"
"248","5.082700423333334E8"
"249","5.082700423333334E8"
