"S value","Number of Comparisons"
"0","3.8609328238095246E7"
"1","3.8609328238095246E7"
"2","3.86094639047619E7"
"3","3.8716445E7"
"4","3.8716445E7"
"5","3.8716445E7"
"6","3.890160376190476E7"
"7","3.940685033333332E7"
"8","3.940685033333332E7"
"9","3.940685033333332E7"
"10","3.940685033333332E7"
"11","3.940685033333332E7"
"12","3.940685033333332E7"
"13","3.940685033333332E7"
"14","4.10225318095238E7"
"15","4.171147128571428E7"
"16","4.171147128571428E7"
"17","4.171147128571428E7"
"18","4.171147128571428E7"
"19","4.171147128571428E7"
"20","4.171147128571428E7"
"21","4.171147128571428E7"
"22","4.171147128571428E7"
"23","4.171147128571428E7"
"24","4.171147128571428E7"
"25","4.171147128571428E7"
"26","4.171147128571428E7"
"27","4.171147128571428E7"
"28","4.171147128571428E7"
"29","4.439234314285715E7"
"30","4.7639389857142866E7"
"31","4.7639389857142866E7"
"32","4.7639389857142866E7"
"33","4.7639389857142866E7"
"34","4.7639389857142866E7"
"35","4.7639389857142866E7"
"36","4.7639389857142866E7"
"37","4.7639389857142866E7"
"38","4.7639389857142866E7"
"39","4.7639389857142866E7"
"40","4.7639389857142866E7"
"41","4.7639389857142866E7"
"42","4.7639389857142866E7"
"43","4.7639389857142866E7"
"44","4.7639389857142866E7"
"45","4.7639389857142866E7"
"46","4.7639389857142866E7"
"47","4.7639389857142866E7"
"48","4.7639389857142866E7"
"49","4.7639389857142866E7"
"50","4.7639389857142866E7"
"51","4.7639389857142866E7"
"52","4.7639389857142866E7"
"53","4.7639389857142866E7"
"54","4.7639389857142866E7"
"55","4.7639389857142866E7"
"56","4.7639389857142866E7"
"57","4.7639389857142866E7"
"58","4.7639389857142866E7"
"59","4.7639389857142866E7"
"60","6.024995428571428E7"
"61","6.107618585714285E7"
"62","6.107618585714285E7"
"63","6.107618585714285E7"
"64","6.107618585714285E7"
"65","6.107618585714285E7"
"66","6.107618585714285E7"
"67","6.107618585714285E7"
"68","6.107618585714285E7"
"69","6.107618585714285E7"
"70","6.107618585714285E7"
"71","6.107618585714285E7"
"72","6.107618585714285E7"
"73","6.107618585714285E7"
"74","6.107618585714285E7"
"75","6.107618585714285E7"
"76","6.107618585714285E7"
"77","6.107618585714285E7"
"78","6.107618585714285E7"
"79","6.107618585714285E7"
"80","6.107618585714285E7"
"81","6.107618585714285E7"
"82","6.107618585714285E7"
"83","6.107618585714285E7"
"84","6.107618585714285E7"
"85","6.107618585714285E7"
"86","6.107618585714285E7"
"87","6.107618585714285E7"
"88","6.107618585714285E7"
"89","6.107618585714285E7"
"90","6.107618585714285E7"
"91","6.107618585714285E7"
"92","6.107618585714285E7"
"93","6.107618585714285E7"
"94","6.107618585714285E7"
"95","6.107618585714285E7"
"96","6.107618585714285E7"
"97","6.107618585714285E7"
"98","6.107618585714285E7"
"99","6.107618585714285E7"
