"S value","Number of Comparisons"
"0","8.119852666666667E7"
"1","8.119852666666667E7"
"2","8.119859028571428E7"
"3","8.141231457142858E7"
"4","8.141231457142858E7"
"5","8.141231457142858E7"
"6","8.178491876190476E7"
"7","8.27930899047619E7"
"8","8.27930899047619E7"
"9","8.27930899047619E7"
"10","8.27930899047619E7"
"11","8.27930899047619E7"
"12","8.27930899047619E7"
"13","8.27930899047619E7"
"14","8.604078900000001E7"
"15","8.739862052380952E7"
"16","8.739862052380952E7"
"17","8.739862052380952E7"
"18","8.739862052380952E7"
"19","8.739862052380952E7"
"20","8.739862052380952E7"
"21","8.739862052380952E7"
"22","8.739862052380952E7"
"23","8.739862052380952E7"
"24","8.739862052380952E7"
"25","8.739862052380952E7"
"26","8.739862052380952E7"
"27","8.739862052380952E7"
"28","8.739862052380952E7"
"29","9.284623704761906E7"
"30","9.924849490476191E7"
"31","9.924849490476191E7"
"32","9.924849490476191E7"
"33","9.924849490476191E7"
"34","9.924849490476191E7"
"35","9.924849490476191E7"
"36","9.924849490476191E7"
"37","9.924849490476191E7"
"38","9.924849490476191E7"
"39","9.924849490476191E7"
"40","9.924849490476191E7"
"41","9.924849490476191E7"
"42","9.924849490476191E7"
"43","9.924849490476191E7"
"44","9.924849490476191E7"
"45","9.924849490476191E7"
"46","9.924849490476191E7"
"47","9.924849490476191E7"
"48","9.924849490476191E7"
"49","9.924849490476191E7"
"50","9.924849490476191E7"
"51","9.924849490476191E7"
"52","9.924849490476191E7"
"53","9.924849490476191E7"
"54","9.924849490476191E7"
"55","9.924849490476191E7"
"56","9.924849490476191E7"
"57","9.924849490476191E7"
"58","9.924849490476191E7"
"59","9.924849490476191E7"
"60","1.24883494E8"
"61","1.261142542857143E8"
"62","1.261142542857143E8"
"63","1.261142542857143E8"
"64","1.261142542857143E8"
"65","1.261142542857143E8"
"66","1.261142542857143E8"
"67","1.261142542857143E8"
"68","1.261142542857143E8"
"69","1.261142542857143E8"
"70","1.261142542857143E8"
"71","1.261142542857143E8"
"72","1.261142542857143E8"
"73","1.261142542857143E8"
"74","1.261142542857143E8"
"75","1.261142542857143E8"
"76","1.261142542857143E8"
"77","1.261142542857143E8"
"78","1.261142542857143E8"
"79","1.261142542857143E8"
"80","1.261142542857143E8"
"81","1.261142542857143E8"
"82","1.261142542857143E8"
"83","1.261142542857143E8"
"84","1.261142542857143E8"
"85","1.261142542857143E8"
"86","1.261142542857143E8"
"87","1.261142542857143E8"
"88","1.261142542857143E8"
"89","1.261142542857143E8"
"90","1.261142542857143E8"
"91","1.261142542857143E8"
"92","1.261142542857143E8"
"93","1.261142542857143E8"
"94","1.261142542857143E8"
"95","1.261142542857143E8"
"96","1.261142542857143E8"
"97","1.261142542857143E8"
"98","1.261142542857143E8"
"99","1.261142542857143E8"
"100","1.261142542857143E8"
"101","1.261142542857143E8"
"102","1.261142542857143E8"
"103","1.261142542857143E8"
"104","1.261142542857143E8"
"105","1.261142542857143E8"
"106","1.261142542857143E8"
"107","1.261142542857143E8"
"108","1.261142542857143E8"
"109","1.261142542857143E8"
"110","1.261142542857143E8"
"111","1.261142542857143E8"
"112","1.261142542857143E8"
"113","1.261142542857143E8"
"114","1.261142542857143E8"
"115","1.261142542857143E8"
"116","1.261142542857143E8"
"117","1.261142542857143E8"
"118","1.261142542857143E8"
"119","1.261142542857143E8"
"120","1.261142542857143E8"
"121","1.782031924285714E8"
"122","1.8335540614285713E8"
"123","1.8335540614285713E8"
"124","1.8335540614285713E8"
"125","1.8335540614285713E8"
"126","1.8335540614285713E8"
"127","1.8335540614285713E8"
"128","1.8335540614285713E8"
"129","1.8335540614285713E8"
"130","1.8335540614285713E8"
"131","1.8335540614285713E8"
"132","1.8335540614285713E8"
"133","1.8335540614285713E8"
"134","1.8335540614285713E8"
"135","1.8335540614285713E8"
"136","1.8335540614285713E8"
"137","1.8335540614285713E8"
"138","1.8335540614285713E8"
"139","1.8335540614285713E8"
"140","1.8335540614285713E8"
"141","1.8335540614285713E8"
"142","1.8335540614285713E8"
"143","1.8335540614285713E8"
"144","1.8335540614285713E8"
"145","1.8335540614285713E8"
"146","1.8335540614285713E8"
"147","1.8335540614285713E8"
"148","1.8335540614285713E8"
"149","1.8335540614285713E8"
"150","1.8335540614285713E8"
"151","1.8335540614285713E8"
"152","1.8335540614285713E8"
"153","1.8335540614285713E8"
"154","1.8335540614285713E8"
"155","1.8335540614285713E8"
"156","1.8335540614285713E8"
"157","1.8335540614285713E8"
"158","1.8335540614285713E8"
"159","1.8335540614285713E8"
"160","1.8335540614285713E8"
"161","1.8335540614285713E8"
"162","1.8335540614285713E8"
"163","1.8335540614285713E8"
"164","1.8335540614285713E8"
"165","1.8335540614285713E8"
"166","1.8335540614285713E8"
"167","1.8335540614285713E8"
"168","1.8335540614285713E8"
"169","1.8335540614285713E8"
"170","1.8335540614285713E8"
"171","1.8335540614285713E8"
"172","1.8335540614285713E8"
"173","1.8335540614285713E8"
"174","1.8335540614285713E8"
"175","1.8335540614285713E8"
"176","1.8335540614285713E8"
"177","1.8335540614285713E8"
"178","1.8335540614285713E8"
"179","1.8335540614285713E8"
"180","1.8335540614285713E8"
"181","1.8335540614285713E8"
"182","1.8335540614285713E8"
"183","1.8335540614285713E8"
"184","1.8335540614285713E8"
"185","1.8335540614285713E8"
"186","1.8335540614285713E8"
"187","1.8335540614285713E8"
"188","1.8335540614285713E8"
"189","1.8335540614285713E8"
"190","1.8335540614285713E8"
"191","1.8335540614285713E8"
"192","1.8335540614285713E8"
"193","1.8335540614285713E8"
"194","1.8335540614285713E8"
"195","1.8335540614285713E8"
"196","1.8335540614285713E8"
"197","1.8335540614285713E8"
"198","1.8335540614285713E8"
"199","1.8335540614285713E8"
"200","1.8335540614285713E8"
"201","1.8335540614285713E8"
"202","1.8335540614285713E8"
"203","1.8335540614285713E8"
"204","1.8335540614285713E8"
"205","1.8335540614285713E8"
"206","1.8335540614285713E8"
"207","1.8335540614285713E8"
"208","1.8335540614285713E8"
"209","1.8335540614285713E8"
"210","1.8335540614285713E8"
"211","1.8335540614285713E8"
"212","1.8335540614285713E8"
"213","1.8335540614285713E8"
"214","1.8335540614285713E8"
"215","1.8335540614285713E8"
"216","1.8335540614285713E8"
"217","1.8335540614285713E8"
"218","1.8335540614285713E8"
"219","1.8335540614285713E8"
"220","1.8335540614285713E8"
"221","1.8335540614285713E8"
"222","1.8335540614285713E8"
"223","1.8335540614285713E8"
"224","1.8335540614285713E8"
"225","1.8335540614285713E8"
"226","1.8335540614285713E8"
"227","1.8335540614285713E8"
"228","1.8335540614285713E8"
"229","1.8335540614285713E8"
"230","1.8335540614285713E8"
"231","1.8335540614285713E8"
"232","1.8335540614285713E8"
"233","1.8335540614285713E8"
"234","1.8335540614285713E8"
"235","1.8335540614285713E8"
"236","1.8335540614285713E8"
"237","1.8335540614285713E8"
"238","1.8335540614285713E8"
"239","1.8335540614285713E8"
"240","1.8335540614285713E8"
"241","1.8335540614285713E8"
"242","1.8335540614285713E8"
"243","2.804768598571429E8"
"244","3.0157467595238096E8"
"245","3.0157467595238096E8"
"246","3.0157467595238096E8"
"247","3.0157467595238096E8"
"248","3.0157467595238096E8"
"249","3.0157467595238096E8"
