"S value","Number of Comparisons"
"0","1.2538363776190478E8"
"1","1.2538363776190478E8"
"2","1.2538354428571427E8"
"3","1.2538354428571427E8"
"4","1.2554346809523809E8"
"5","1.2646502714285715E8"
"6","1.2646502714285715E8"
"7","1.2646502714285715E8"
"8","1.2646502714285715E8"
"9","1.2646502714285715E8"
"10","1.2862631404761903E8"
"11","1.3084486242857142E8"
"12","1.3084486242857142E8"
"13","1.3084486242857142E8"
"14","1.3084486242857142E8"
"15","1.3084486242857142E8"
"16","1.3084486242857142E8"
"17","1.3084486242857142E8"
"18","1.3084486242857142E8"
"19","1.3084486242857142E8"
"20","1.3084486242857142E8"
"21","1.32078902E8"
"22","1.430963706190476E8"
"23","1.430963706190476E8"
"24","1.430963706190476E8"
"25","1.430963706190476E8"
"26","1.430963706190476E8"
"27","1.430963706190476E8"
"28","1.430963706190476E8"
"29","1.430963706190476E8"
"30","1.430963706190476E8"
"31","1.430963706190476E8"
"32","1.430963706190476E8"
"33","1.430963706190476E8"
"34","1.430963706190476E8"
"35","1.430963706190476E8"
"36","1.430963706190476E8"
"37","1.430963706190476E8"
"38","1.430963706190476E8"
"39","1.430963706190476E8"
"40","1.430963706190476E8"
"41","1.430963706190476E8"
"42","1.430963706190476E8"
"43","1.430963706190476E8"
"44","1.4925612447619048E8"
"45","1.7208318023809522E8"
"46","1.7208318023809522E8"
"47","1.7208318023809522E8"
"48","1.7208318023809522E8"
"49","1.7208318023809522E8"
"50","1.7208318023809522E8"
"51","1.7208318023809522E8"
"52","1.7208318023809522E8"
"53","1.7208318023809522E8"
"54","1.7208318023809522E8"
"55","1.7208318023809522E8"
"56","1.7208318023809522E8"
"57","1.7208318023809522E8"
"58","1.7208318023809522E8"
"59","1.7208318023809522E8"
"60","1.7208318023809522E8"
"61","1.7208318023809522E8"
"62","1.7208318023809522E8"
"63","1.7208318023809522E8"
"64","1.7208318023809522E8"
"65","1.7208318023809522E8"
"66","1.7208318023809522E8"
"67","1.7208318023809522E8"
"68","1.7208318023809522E8"
"69","1.7208318023809522E8"
"70","1.7208318023809522E8"
"71","1.7208318023809522E8"
"72","1.7208318023809522E8"
"73","1.7208318023809522E8"
"74","1.7208318023809522E8"
"75","1.7208318023809522E8"
"76","1.7208318023809522E8"
"77","1.7208318023809522E8"
"78","1.7208318023809522E8"
"79","1.7208318023809522E8"
"80","1.7208318023809522E8"
"81","1.7208318023809522E8"
"82","1.7208318023809522E8"
"83","1.7208318023809522E8"
"84","1.7208318023809522E8"
"85","1.7208318023809522E8"
"86","1.7208318023809522E8"
"87","1.7208318023809522E8"
"88","1.7208318023809522E8"
