"S value","Number of Comparisons"
"0","2.230298942857143E7"
"1","2.230298942857143E7"
"2","2.2303032E7"
"3","2.233050257142857E7"
"4","2.241434947619047E7"
"5","2.241434947619047E7"
"6","2.241434947619047E7"
"7","2.241434947619047E7"
"8","2.287618419047619E7"
"9","2.2999348809523806E7"
"10","2.2999348809523806E7"
"11","2.2999348809523806E7"
"12","2.2999348809523806E7"
"13","2.2999348809523806E7"
"14","2.2999348809523806E7"
"15","2.2999348809523806E7"
"16","2.2999348809523806E7"
"17","2.417133761904762E7"
"18","2.480837457142857E7"
"19","2.480837457142857E7"
"20","2.480837457142857E7"
"21","2.480837457142857E7"
"22","2.480837457142857E7"
"23","2.480837457142857E7"
"24","2.480837457142857E7"
"25","2.480837457142857E7"
"26","2.480837457142857E7"
"27","2.480837457142857E7"
"28","2.480837457142857E7"
"29","2.480837457142857E7"
"30","2.480837457142857E7"
"31","2.480837457142857E7"
"32","2.480837457142857E7"
"33","2.480837457142857E7"
"34","2.480837457142857E7"
"35","2.631458028571429E7"
"36","2.9258039238095243E7"
"37","2.9258039238095243E7"
"38","2.9258039238095243E7"
"39","2.9258039238095243E7"
"40","2.9258039238095243E7"
"41","2.9258039238095243E7"
"42","2.9258039238095243E7"
"43","2.9258039238095243E7"
"44","2.9258039238095243E7"
"45","2.9258039238095243E7"
"46","2.9258039238095243E7"
"47","2.9258039238095243E7"
"48","2.9258039238095243E7"
"49","2.9258039238095243E7"
"50","2.9258039238095243E7"
"51","2.9258039238095243E7"
"52","2.9258039238095243E7"
"53","2.9258039238095243E7"
"54","2.9258039238095243E7"
"55","2.9258039238095243E7"
"56","2.9258039238095243E7"
"57","2.9258039238095243E7"
"58","2.9258039238095243E7"
"59","2.9258039238095243E7"
"60","2.9258039238095243E7"
"61","2.9258039238095243E7"
"62","2.9258039238095243E7"
"63","2.9258039238095243E7"
"64","2.9258039238095243E7"
"65","2.9258039238095243E7"
"66","2.9258039238095243E7"
"67","2.9258039238095243E7"
"68","2.9258039238095243E7"
"69","2.9258039238095243E7"
"70","2.9258039238095243E7"
"71","2.9258039238095243E7"
"72","3.616513947619048E7"
"73","3.914842176190476E7"
"74","3.914842176190476E7"
"75","3.914842176190476E7"
"76","3.914842176190476E7"
"77","3.914842176190476E7"
"78","3.914842176190476E7"
"79","3.914842176190476E7"
"80","3.914842176190476E7"
"81","3.914842176190476E7"
"82","3.914842176190476E7"
"83","3.914842176190476E7"
"84","3.914842176190476E7"
"85","3.914842176190476E7"
"86","3.914842176190476E7"
"87","3.914842176190476E7"
"88","3.914842176190476E7"
"89","3.914842176190476E7"
"90","3.914842176190476E7"
"91","3.914842176190476E7"
"92","3.914842176190476E7"
"93","3.914842176190476E7"
"94","3.914842176190476E7"
"95","3.914842176190476E7"
"96","3.914842176190476E7"
"97","3.914842176190476E7"
"98","3.914842176190476E7"
"99","3.914842176190476E7"
"100","3.914842176190476E7"
"101","3.914842176190476E7"
"102","3.914842176190476E7"
"103","3.914842176190476E7"
"104","3.914842176190476E7"
"105","3.914842176190476E7"
"106","3.914842176190476E7"
"107","3.914842176190476E7"
"108","3.914842176190476E7"
"109","3.914842176190476E7"
"110","3.914842176190476E7"
"111","3.914842176190476E7"
"112","3.914842176190476E7"
"113","3.914842176190476E7"
"114","3.914842176190476E7"
"115","3.914842176190476E7"
"116","3.914842176190476E7"
"117","3.914842176190476E7"
"118","3.914842176190476E7"
"119","3.914842176190476E7"
"120","3.914842176190476E7"
"121","3.914842176190476E7"
"122","3.914842176190476E7"
"123","3.914842176190476E7"
"124","3.914842176190476E7"
"125","3.914842176190476E7"
"126","3.914842176190476E7"
"127","3.914842176190476E7"
"128","3.914842176190476E7"
"129","3.914842176190476E7"
"130","3.914842176190476E7"
"131","3.914842176190476E7"
"132","3.914842176190476E7"
"133","3.914842176190476E7"
"134","3.914842176190476E7"
"135","3.914842176190476E7"
"136","3.914842176190476E7"
"137","3.914842176190476E7"
"138","3.914842176190476E7"
"139","3.914842176190476E7"
"140","3.914842176190476E7"
"141","3.914842176190476E7"
"142","3.914842176190476E7"
"143","3.914842176190476E7"
"144","3.914842176190476E7"
"145","4.7593231142857134E7"
"146","6.000016228571429E7"
"147","6.000016228571429E7"
"148","6.000016228571429E7"
"149","6.000016228571429E7"
"150","6.000016228571429E7"
"151","6.000016228571429E7"
"152","6.000016228571429E7"
"153","6.000016228571429E7"
"154","6.000016228571429E7"
"155","6.000016228571429E7"
"156","6.000016228571429E7"
"157","6.000016228571429E7"
"158","6.000016228571429E7"
"159","6.000016228571429E7"
"160","6.000016228571429E7"
"161","6.000016228571429E7"
"162","6.000016228571429E7"
"163","6.000016228571429E7"
"164","6.000016228571429E7"
"165","6.000016228571429E7"
"166","6.000016228571429E7"
"167","6.000016228571429E7"
"168","6.000016228571429E7"
"169","6.000016228571429E7"
"170","6.000016228571429E7"
"171","6.000016228571429E7"
"172","6.000016228571429E7"
"173","6.000016228571429E7"
"174","6.000016228571429E7"
"175","6.000016228571429E7"
"176","6.000016228571429E7"
"177","6.000016228571429E7"
"178","6.000016228571429E7"
"179","6.000016228571429E7"
"180","6.000016228571429E7"
"181","6.000016228571429E7"
"182","6.000016228571429E7"
"183","6.000016228571429E7"
"184","6.000016228571429E7"
"185","6.000016228571429E7"
"186","6.000016228571429E7"
"187","6.000016228571429E7"
"188","6.000016228571429E7"
"189","6.000016228571429E7"
"190","6.000016228571429E7"
"191","6.000016228571429E7"
"192","6.000016228571429E7"
"193","6.000016228571429E7"
"194","6.000016228571429E7"
"195","6.000016228571429E7"
"196","6.000016228571429E7"
"197","6.000016228571429E7"
"198","6.000016228571429E7"
"199","6.000016228571429E7"
"200","6.000016228571429E7"
"201","6.000016228571429E7"
"202","6.000016228571429E7"
"203","6.000016228571429E7"
"204","6.000016228571429E7"
"205","6.000016228571429E7"
"206","6.000016228571429E7"
"207","6.000016228571429E7"
"208","6.000016228571429E7"
"209","6.000016228571429E7"
"210","6.000016228571429E7"
"211","6.000016228571429E7"
"212","6.000016228571429E7"
"213","6.000016228571429E7"
"214","6.000016228571429E7"
"215","6.000016228571429E7"
"216","6.000016228571429E7"
"217","6.000016228571429E7"
"218","6.000016228571429E7"
"219","6.000016228571429E7"
"220","6.000016228571429E7"
"221","6.000016228571429E7"
"222","6.000016228571429E7"
"223","6.000016228571429E7"
"224","6.000016228571429E7"
"225","6.000016228571429E7"
"226","6.000016228571429E7"
"227","6.000016228571429E7"
"228","6.000016228571429E7"
"229","6.000016228571429E7"
"230","6.000016228571429E7"
"231","6.000016228571429E7"
"232","6.000016228571429E7"
"233","6.000016228571429E7"
"234","6.000016228571429E7"
"235","6.000016228571429E7"
"236","6.000016228571429E7"
"237","6.000016228571429E7"
"238","6.000016228571429E7"
"239","6.000016228571429E7"
"240","6.000016228571429E7"
"241","6.000016228571429E7"
"242","6.000016228571429E7"
"243","6.000016228571429E7"
"244","6.000016228571429E7"
"245","6.000016228571429E7"
"246","6.000016228571429E7"
"247","6.000016228571429E7"
"248","6.000016228571429E7"
"249","6.000016228571429E7"
