"S value","Number of Comparisons"
"0","1.3431748190476188E8"
"1","1.3431748190476188E8"
"2","1.343174868571429E8"
"3","1.3434473814285713E8"
"4","1.3434473814285713E8"
"5","1.3548866947619048E8"
"6","1.3569804147619045E8"
"7","1.3569804147619045E8"
"8","1.3569804147619045E8"
"9","1.3569804147619045E8"
"10","1.3569804147619045E8"
"11","1.3964843747619045E8"
"12","1.409132782380952E8"
"13","1.409132782380952E8"
"14","1.409132782380952E8"
"15","1.409132782380952E8"
"16","1.409132782380952E8"
"17","1.409132782380952E8"
"18","1.409132782380952E8"
"19","1.409132782380952E8"
"20","1.409132782380952E8"
"21","1.409132782380952E8"
"22","1.409132782380952E8"
"23","1.4892655252380958E8"
"24","1.5516926780952382E8"
"25","1.5516926780952382E8"
"26","1.5516926780952382E8"
"27","1.5516926780952382E8"
"28","1.5516926780952382E8"
"29","1.5516926780952382E8"
"30","1.5516926780952382E8"
"31","1.5516926780952382E8"
"32","1.5516926780952382E8"
"33","1.5516926780952382E8"
"34","1.5516926780952382E8"
"35","1.5516926780952382E8"
"36","1.5516926780952382E8"
"37","1.5516926780952382E8"
"38","1.5516926780952382E8"
"39","1.5516926780952382E8"
"40","1.5516926780952382E8"
"41","1.5516926780952382E8"
"42","1.5516926780952382E8"
"43","1.5516926780952382E8"
"44","1.5516926780952382E8"
"45","1.5516926780952382E8"
"46","1.5516926780952382E8"
"47","1.6060059233333334E8"
"48","1.8848649576190478E8"
"49","1.8848649576190478E8"
"50","1.8848649576190478E8"
"51","1.8848649576190478E8"
"52","1.8848649576190478E8"
"53","1.8848649576190478E8"
"54","1.8848649576190478E8"
"55","1.8848649576190478E8"
"56","1.8848649576190478E8"
"57","1.8848649576190478E8"
"58","1.8848649576190478E8"
"59","1.8848649576190478E8"
"60","1.8848649576190478E8"
"61","1.8848649576190478E8"
"62","1.8848649576190478E8"
"63","1.8848649576190478E8"
"64","1.8848649576190478E8"
"65","1.8848649576190478E8"
"66","1.8848649576190478E8"
"67","1.8848649576190478E8"
"68","1.8848649576190478E8"
"69","1.8848649576190478E8"
"70","1.8848649576190478E8"
