"S value","Number of Comparisons"
"0","1.9785336700000003E8"
"1","1.9785336700000003E8"
"2","1.9785333985714287E8"
"3","1.981746849047619E8"
"4","1.9862125114285713E8"
"5","1.9862125114285713E8"
"6","1.9862125114285713E8"
"7","1.993448548095238E8"
"8","2.0275850190476188E8"
"9","2.0275850190476188E8"
"10","2.0275850190476188E8"
"11","2.0275850190476188E8"
"12","2.0275850190476188E8"
"13","2.0275850190476188E8"
"14","2.0275850190476188E8"
"15","2.0275850190476188E8"
"16","2.0818870380952382E8"
"17","2.157897382857143E8"
"18","2.157897382857143E8"
"19","2.157897382857143E8"
"20","2.157897382857143E8"
"21","2.157897382857143E8"
"22","2.157897382857143E8"
"23","2.157897382857143E8"
"24","2.157897382857143E8"
"25","2.157897382857143E8"
"26","2.157897382857143E8"
"27","2.157897382857143E8"
"28","2.157897382857143E8"
"29","2.157897382857143E8"
"30","2.157897382857143E8"
"31","2.157897382857143E8"
"32","2.157897382857143E8"
"33","2.157897382857143E8"
"34","2.4487488852380952E8"
"35","2.481492061904762E8"
"36","2.481492061904762E8"
"37","2.481492061904762E8"
"38","2.481492061904762E8"
"39","2.481492061904762E8"
"40","2.481492061904762E8"
"41","2.481492061904762E8"
"42","2.481492061904762E8"
"43","2.481492061904762E8"
"44","2.481492061904762E8"
"45","2.481492061904762E8"
"46","2.481492061904762E8"
"47","2.481492061904762E8"
"48","2.481492061904762E8"
"49","2.481492061904762E8"
"50","2.481492061904762E8"
"51","2.481492061904762E8"
"52","2.481492061904762E8"
"53","2.481492061904762E8"
"54","2.481492061904762E8"
"55","2.481492061904762E8"
"56","2.481492061904762E8"
"57","2.481492061904762E8"
"58","2.481492061904762E8"
"59","2.481492061904762E8"
"60","2.481492061904762E8"
"61","2.481492061904762E8"
"62","2.481492061904762E8"
"63","2.481492061904762E8"
"64","2.481492061904762E8"
"65","2.481492061904762E8"
"66","2.481492061904762E8"
"67","2.481492061904762E8"
"68","2.481492061904762E8"
"69","3.0624879671428573E8"
"70","3.203813388095238E8"
"71","3.203813388095238E8"
"72","3.203813388095238E8"
"73","3.203813388095238E8"
"74","3.203813388095238E8"
"75","3.203813388095238E8"
"76","3.203813388095238E8"
"77","3.203813388095238E8"
"78","3.203813388095238E8"
"79","3.203813388095238E8"
"80","3.203813388095238E8"
"81","3.203813388095238E8"
"82","3.203813388095238E8"
"83","3.203813388095238E8"
"84","3.203813388095238E8"
"85","3.203813388095238E8"
"86","3.203813388095238E8"
"87","3.203813388095238E8"
"88","3.203813388095238E8"
"89","3.203813388095238E8"
"90","3.203813388095238E8"
"91","3.203813388095238E8"
"92","3.203813388095238E8"
"93","3.203813388095238E8"
"94","3.203813388095238E8"
"95","3.203813388095238E8"
"96","3.203813388095238E8"
"97","3.203813388095238E8"
"98","3.203813388095238E8"
"99","3.203813388095238E8"
"100","3.203813388095238E8"
"101","3.203813388095238E8"
"102","3.203813388095238E8"
"103","3.203813388095238E8"
"104","3.203813388095238E8"
"105","3.203813388095238E8"
"106","3.203813388095238E8"
"107","3.203813388095238E8"
"108","3.203813388095238E8"
"109","3.203813388095238E8"
"110","3.203813388095238E8"
"111","3.203813388095238E8"
"112","3.203813388095238E8"
"113","3.203813388095238E8"
"114","3.203813388095238E8"
"115","3.203813388095238E8"
"116","3.203813388095238E8"
"117","3.203813388095238E8"
"118","3.203813388095238E8"
"119","3.203813388095238E8"
"120","3.203813388095238E8"
"121","3.203813388095238E8"
"122","3.203813388095238E8"
"123","3.203813388095238E8"
"124","3.203813388095238E8"
"125","3.203813388095238E8"
"126","3.203813388095238E8"
"127","3.203813388095238E8"
"128","3.203813388095238E8"
"129","3.203813388095238E8"
"130","3.203813388095238E8"
"131","3.203813388095238E8"
"132","3.203813388095238E8"
"133","3.203813388095238E8"
"134","3.203813388095238E8"
"135","3.203813388095238E8"
"136","3.203813388095238E8"
"137","3.203813388095238E8"
"138","3.203813388095238E8"
"139","4.1417094761904764E8"
"140","4.7302409828571427E8"
"141","4.7302409828571427E8"
"142","4.7302409828571427E8"
"143","4.7302409828571427E8"
"144","4.7302409828571427E8"
"145","4.7302409828571427E8"
"146","4.7302409828571427E8"
"147","4.7302409828571427E8"
"148","4.7302409828571427E8"
"149","4.7302409828571427E8"
"150","4.7302409828571427E8"
"151","4.7302409828571427E8"
"152","4.7302409828571427E8"
"153","4.7302409828571427E8"
"154","4.7302409828571427E8"
"155","4.7302409828571427E8"
"156","4.7302409828571427E8"
