"S value","Number of Comparisons"
"0","7.256666409523809E7"
"1","7.256666409523809E7"
"2","7.256699347619045E7"
"3","7.268070704761904E7"
"4","7.268070704761904E7"
"5","7.276496461904761E7"
"6","7.364021347619048E7"
"7","7.364021347619048E7"
"8","7.364021347619048E7"
"9","7.364021347619048E7"
"10","7.364021347619048E7"
"11","7.364021347619048E7"
"12","7.444587657142857E7"
"13","7.717990204761907E7"
"14","7.717990204761907E7"
"15","7.717990204761907E7"
"16","7.717990204761907E7"
"17","7.717990204761907E7"
"18","7.717990204761907E7"
"19","7.717990204761907E7"
"20","7.717990204761907E7"
"21","7.717990204761907E7"
"22","7.717990204761907E7"
"23","7.717990204761907E7"
"24","7.717990204761907E7"
"25","7.717990204761907E7"
"26","8.192677361904761E7"
"27","8.651849842857143E7"
"28","8.651849842857143E7"
"29","8.651849842857143E7"
"30","8.651849842857143E7"
"31","8.651849842857143E7"
"32","8.651849842857143E7"
"33","8.651849842857143E7"
"34","8.651849842857143E7"
"35","8.651849842857143E7"
"36","8.651849842857143E7"
"37","8.651849842857143E7"
"38","8.651849842857143E7"
"39","8.651849842857143E7"
"40","8.651849842857143E7"
"41","8.651849842857143E7"
"42","8.651849842857143E7"
"43","8.651849842857143E7"
"44","8.651849842857143E7"
"45","8.651849842857143E7"
"46","8.651849842857143E7"
"47","8.651849842857143E7"
"48","8.651849842857143E7"
"49","8.651849842857143E7"
"50","8.651849842857143E7"
"51","8.651849842857143E7"
"52","8.651849842857143E7"
"53","8.773030847619049E7"
"54","1.0798092514285715E8"
"55","1.0798092514285715E8"
"56","1.0798092514285715E8"
"57","1.0798092514285715E8"
"58","1.0798092514285715E8"
"59","1.0798092514285715E8"
"60","1.0798092514285715E8"
"61","1.0798092514285715E8"
"62","1.0798092514285715E8"
"63","1.0798092514285715E8"
"64","1.0798092514285715E8"
"65","1.0798092514285715E8"
"66","1.0798092514285715E8"
"67","1.0798092514285715E8"
"68","1.0798092514285715E8"
"69","1.0798092514285715E8"
"70","1.0798092514285715E8"
"71","1.0798092514285715E8"
"72","1.0798092514285715E8"
"73","1.0798092514285715E8"
"74","1.0798092514285715E8"
"75","1.0798092514285715E8"
"76","1.0798092514285715E8"
"77","1.0798092514285715E8"
"78","1.0798092514285715E8"
"79","1.0798092514285715E8"
"80","1.0798092514285715E8"
"81","1.0798092514285715E8"
"82","1.0798092514285715E8"
"83","1.0798092514285715E8"
"84","1.0798092514285715E8"
"85","1.0798092514285715E8"
"86","1.0798092514285715E8"
"87","1.0798092514285715E8"
"88","1.0798092514285715E8"
"89","1.0798092514285715E8"
"90","1.0798092514285715E8"
"91","1.0798092514285715E8"
"92","1.0798092514285715E8"
"93","1.0798092514285715E8"
"94","1.0798092514285715E8"
"95","1.0798092514285715E8"
"96","1.0798092514285715E8"
"97","1.0798092514285715E8"
"98","1.0798092514285715E8"
"99","1.0798092514285715E8"
"100","1.0798092514285715E8"
"101","1.0798092514285715E8"
"102","1.0798092514285715E8"
"103","1.0798092514285715E8"
"104","1.0798092514285715E8"
"105","1.0798092514285715E8"
"106","1.0798092514285715E8"
"107","1.0798092514285715E8"
"108","1.132870591904762E8"
"109","1.5402550147619048E8"
"110","1.5402550147619048E8"
"111","1.5402550147619048E8"
"112","1.5402550147619048E8"
"113","1.5402550147619048E8"
"114","1.5402550147619048E8"
"115","1.5402550147619048E8"
"116","1.5402550147619048E8"
"117","1.5402550147619048E8"
"118","1.5402550147619048E8"
"119","1.5402550147619048E8"
"120","1.5402550147619048E8"
"121","1.5402550147619048E8"
"122","1.5402550147619048E8"
"123","1.5402550147619048E8"
"124","1.5402550147619048E8"
"125","1.5402550147619048E8"
"126","1.5402550147619048E8"
"127","1.5402550147619048E8"
"128","1.5402550147619048E8"
"129","1.5402550147619048E8"
"130","1.5402550147619048E8"
"131","1.5402550147619048E8"
"132","1.5402550147619048E8"
"133","1.5402550147619048E8"
"134","1.5402550147619048E8"
"135","1.5402550147619048E8"
"136","1.5402550147619048E8"
"137","1.5402550147619048E8"
"138","1.5402550147619048E8"
"139","1.5402550147619048E8"
"140","1.5402550147619048E8"
"141","1.5402550147619048E8"
"142","1.5402550147619048E8"
"143","1.5402550147619048E8"
"144","1.5402550147619048E8"
"145","1.5402550147619048E8"
"146","1.5402550147619048E8"
"147","1.5402550147619048E8"
"148","1.5402550147619048E8"
"149","1.5402550147619048E8"
"150","1.5402550147619048E8"
"151","1.5402550147619048E8"
"152","1.5402550147619048E8"
"153","1.5402550147619048E8"
"154","1.5402550147619048E8"
"155","1.5402550147619048E8"
"156","1.5402550147619048E8"
"157","1.5402550147619048E8"
"158","1.5402550147619048E8"
"159","1.5402550147619048E8"
"160","1.5402550147619048E8"
"161","1.5402550147619048E8"
"162","1.5402550147619048E8"
"163","1.5402550147619048E8"
"164","1.5402550147619048E8"
"165","1.5402550147619048E8"
"166","1.5402550147619048E8"
"167","1.5402550147619048E8"
"168","1.5402550147619048E8"
"169","1.5402550147619048E8"
"170","1.5402550147619048E8"
"171","1.5402550147619048E8"
"172","1.5402550147619048E8"
"173","1.5402550147619048E8"
"174","1.5402550147619048E8"
"175","1.5402550147619048E8"
"176","1.5402550147619048E8"
"177","1.5402550147619048E8"
"178","1.5402550147619048E8"
"179","1.5402550147619048E8"
"180","1.5402550147619048E8"
"181","1.5402550147619048E8"
"182","1.5402550147619048E8"
"183","1.5402550147619048E8"
"184","1.5402550147619048E8"
"185","1.5402550147619048E8"
"186","1.5402550147619048E8"
"187","1.5402550147619048E8"
"188","1.5402550147619048E8"
"189","1.5402550147619048E8"
"190","1.5402550147619048E8"
"191","1.5402550147619048E8"
"192","1.5402550147619048E8"
"193","1.5402550147619048E8"
"194","1.5402550147619048E8"
"195","1.5402550147619048E8"
"196","1.5402550147619048E8"
"197","1.5402550147619048E8"
"198","1.5402550147619048E8"
"199","1.5402550147619048E8"
"200","1.5402550147619048E8"
"201","1.5402550147619048E8"
"202","1.5402550147619048E8"
"203","1.5402550147619048E8"
"204","1.5402550147619048E8"
"205","1.5402550147619048E8"
"206","1.5402550147619048E8"
"207","1.5402550147619048E8"
"208","1.5402550147619048E8"
"209","1.5402550147619048E8"
"210","1.5402550147619048E8"
"211","1.5402550147619048E8"
"212","1.5402550147619048E8"
"213","1.5402550147619048E8"
"214","1.5402550147619048E8"
"215","1.5402550147619048E8"
"216","1.5402550147619048E8"
"217","1.5402550147619048E8"
"218","1.7623419466666666E8"
"219","2.4946077366666666E8"
"220","2.4946077366666666E8"
"221","2.4946077366666666E8"
"222","2.4946077366666666E8"
"223","2.4946077366666666E8"
"224","2.4946077366666666E8"
"225","2.4946077366666666E8"
"226","2.4946077366666666E8"
"227","2.4946077366666666E8"
"228","2.4946077366666666E8"
"229","2.4946077366666666E8"
"230","2.4946077366666666E8"
"231","2.4946077366666666E8"
"232","2.4946077366666666E8"
"233","2.4946077366666666E8"
"234","2.4946077366666666E8"
"235","2.4946077366666666E8"
"236","2.4946077366666666E8"
"237","2.4946077366666666E8"
"238","2.4946077366666666E8"
"239","2.4946077366666666E8"
"240","2.4946077366666666E8"
"241","2.4946077366666666E8"
"242","2.4946077366666666E8"
"243","2.4946077366666666E8"
"244","2.4946077366666666E8"
"245","2.4946077366666666E8"
"246","2.4946077366666666E8"
"247","2.4946077366666666E8"
"248","2.4946077366666666E8"
"249","2.4946077366666666E8"
