"S value","Number of Comparisons"
"0","8.99293398095238E7"
"1","8.99293398095238E7"
"2","8.992926619047618E7"
"3","9.014003490476191E7"
"4","9.025326166666666E7"
"5","9.025326166666666E7"
"6","9.025326166666666E7"
"7","9.122322052380952E7"
"8","9.20906068095238E7"
"9","9.20906068095238E7"
"10","9.20906068095238E7"
"11","9.20906068095238E7"
"12","9.20906068095238E7"
"13","9.20906068095238E7"
"14","9.20906068095238E7"
"15","9.319967561904761E7"
"16","9.79235210952381E7"
"17","9.79235210952381E7"
"18","9.79235210952381E7"
"19","9.79235210952381E7"
"20","9.79235210952381E7"
"21","9.79235210952381E7"
"22","9.79235210952381E7"
"23","9.79235210952381E7"
"24","9.79235210952381E7"
"25","9.79235210952381E7"
"26","9.79235210952381E7"
"27","9.79235210952381E7"
"28","9.79235210952381E7"
"29","9.79235210952381E7"
"30","9.79235210952381E7"
"31","9.79235210952381E7"
"32","1.0393742261904763E8"
"33","1.1259310352380952E8"
"34","1.1259310352380952E8"
"35","1.1259310352380952E8"
"36","1.1259310352380952E8"
"37","1.1259310352380952E8"
"38","1.1259310352380952E8"
"39","1.1259310352380952E8"
"40","1.1259310352380952E8"
"41","1.1259310352380952E8"
"42","1.1259310352380952E8"
"43","1.1259310352380952E8"
"44","1.1259310352380952E8"
"45","1.1259310352380952E8"
"46","1.1259310352380952E8"
"47","1.1259310352380952E8"
"48","1.1259310352380952E8"
"49","1.1259310352380952E8"
"50","1.1259310352380952E8"
"51","1.1259310352380952E8"
"52","1.1259310352380952E8"
"53","1.1259310352380952E8"
"54","1.1259310352380952E8"
"55","1.1259310352380952E8"
"56","1.1259310352380952E8"
"57","1.1259310352380952E8"
"58","1.1259310352380952E8"
"59","1.1259310352380952E8"
"60","1.1259310352380952E8"
"61","1.1259310352380952E8"
"62","1.1259310352380952E8"
"63","1.1259310352380952E8"
"64","1.1259310352380952E8"
"65","1.1259310352380952E8"
"66","1.4050649500000003E8"
"67","1.4547760085714284E8"
"68","1.4547760085714284E8"
"69","1.4547760085714284E8"
"70","1.4547760085714284E8"
"71","1.4547760085714284E8"
"72","1.4547760085714284E8"
"73","1.4547760085714284E8"
"74","1.4547760085714284E8"
"75","1.4547760085714284E8"
"76","1.4547760085714284E8"
"77","1.4547760085714284E8"
"78","1.4547760085714284E8"
"79","1.4547760085714284E8"
"80","1.4547760085714284E8"
"81","1.4547760085714284E8"
"82","1.4547760085714284E8"
"83","1.4547760085714284E8"
"84","1.4547760085714284E8"
"85","1.4547760085714284E8"
"86","1.4547760085714284E8"
"87","1.4547760085714284E8"
"88","1.4547760085714284E8"
"89","1.4547760085714284E8"
"90","1.4547760085714284E8"
"91","1.4547760085714284E8"
"92","1.4547760085714284E8"
"93","1.4547760085714284E8"
"94","1.4547760085714284E8"
"95","1.4547760085714284E8"
"96","1.4547760085714284E8"
"97","1.4547760085714284E8"
"98","1.4547760085714284E8"
"99","1.4547760085714284E8"
"100","1.4547760085714284E8"
"101","1.4547760085714284E8"
"102","1.4547760085714284E8"
"103","1.4547760085714284E8"
"104","1.4547760085714284E8"
"105","1.4547760085714284E8"
"106","1.4547760085714284E8"
"107","1.4547760085714284E8"
"108","1.4547760085714284E8"
"109","1.4547760085714284E8"
"110","1.4547760085714284E8"
"111","1.4547760085714284E8"
"112","1.4547760085714284E8"
"113","1.4547760085714284E8"
"114","1.4547760085714284E8"
"115","1.4547760085714284E8"
"116","1.4547760085714284E8"
"117","1.4547760085714284E8"
"118","1.4547760085714284E8"
"119","1.4547760085714284E8"
"120","1.4547760085714284E8"
"121","1.4547760085714284E8"
"122","1.4547760085714284E8"
"123","1.4547760085714284E8"
"124","1.4547760085714284E8"
"125","1.4547760085714284E8"
"126","1.4547760085714284E8"
"127","1.4547760085714284E8"
"128","1.4547760085714284E8"
"129","1.4547760085714284E8"
