"S value","Number of Comparisons"
"0","3.0394357999999996E7"
"1","3.0394357999999996E7"
"2","3.039443423809524E7"
"3","3.040145880952381E7"
"4","3.040145880952381E7"
"5","3.0686394761904757E7"
"6","3.0740280095238097E7"
"7","3.0740280095238097E7"
"8","3.0740280095238097E7"
"9","3.0740280095238097E7"
"10","3.0740280095238097E7"
"11","3.172049428571428E7"
"12","3.2045814666666664E7"
"13","3.2045814666666664E7"
"14","3.2045814666666664E7"
"15","3.2045814666666664E7"
"16","3.2045814666666664E7"
"17","3.2045814666666664E7"
"18","3.2045814666666664E7"
"19","3.2045814666666664E7"
"20","3.2045814666666664E7"
"21","3.2045814666666664E7"
"22","3.2045814666666664E7"
"23","3.4009995857142866E7"
"24","3.56126849047619E7"
"25","3.56126849047619E7"
"26","3.56126849047619E7"
"27","3.56126849047619E7"
"28","3.56126849047619E7"
"29","3.56126849047619E7"
"30","3.56126849047619E7"
"31","3.56126849047619E7"
"32","3.56126849047619E7"
"33","3.56126849047619E7"
"34","3.56126849047619E7"
"35","3.56126849047619E7"
"36","3.56126849047619E7"
"37","3.56126849047619E7"
"38","3.56126849047619E7"
"39","3.56126849047619E7"
"40","3.56126849047619E7"
"41","3.56126849047619E7"
"42","3.56126849047619E7"
"43","3.56126849047619E7"
"44","3.56126849047619E7"
"45","3.56126849047619E7"
"46","3.56126849047619E7"
"47","3.6787595761904754E7"
"48","4.394687642857143E7"
"49","4.394687642857143E7"
"50","4.394687642857143E7"
"51","4.394687642857143E7"
"52","4.394687642857143E7"
"53","4.394687642857143E7"
"54","4.394687642857143E7"
"55","4.394687642857143E7"
"56","4.394687642857143E7"
"57","4.394687642857143E7"
"58","4.394687642857143E7"
"59","4.394687642857143E7"
"60","4.394687642857143E7"
"61","4.394687642857143E7"
"62","4.394687642857143E7"
"63","4.394687642857143E7"
"64","4.394687642857143E7"
"65","4.394687642857143E7"
"66","4.394687642857143E7"
"67","4.394687642857143E7"
"68","4.394687642857143E7"
"69","4.394687642857143E7"
"70","4.394687642857143E7"
"71","4.394687642857143E7"
"72","4.394687642857143E7"
"73","4.394687642857143E7"
"74","4.394687642857143E7"
"75","4.394687642857143E7"
"76","4.394687642857143E7"
"77","4.394687642857143E7"
"78","4.394687642857143E7"
"79","4.394687642857143E7"
"80","4.394687642857143E7"
"81","4.394687642857143E7"
"82","4.394687642857143E7"
"83","4.394687642857143E7"
"84","4.394687642857143E7"
"85","4.394687642857143E7"
"86","4.394687642857143E7"
"87","4.394687642857143E7"
"88","4.394687642857143E7"
"89","4.394687642857143E7"
"90","4.394687642857143E7"
"91","4.394687642857143E7"
"92","4.394687642857143E7"
"93","4.394687642857143E7"
"94","4.394687642857143E7"
"95","4.394687642857143E7"
"96","4.914502E7"
"97","6.198656166666667E7"
"98","6.198656166666667E7"
"99","6.198656166666667E7"
"100","6.198656166666667E7"
"101","6.198656166666667E7"
"102","6.198656166666667E7"
"103","6.198656166666667E7"
"104","6.198656166666667E7"
"105","6.198656166666667E7"
"106","6.198656166666667E7"
"107","6.198656166666667E7"
"108","6.198656166666667E7"
"109","6.198656166666667E7"
"110","6.198656166666667E7"
"111","6.198656166666667E7"
"112","6.198656166666667E7"
"113","6.198656166666667E7"
"114","6.198656166666667E7"
"115","6.198656166666667E7"
"116","6.198656166666667E7"
"117","6.198656166666667E7"
"118","6.198656166666667E7"
"119","6.198656166666667E7"
"120","6.198656166666667E7"
"121","6.198656166666667E7"
"122","6.198656166666667E7"
"123","6.198656166666667E7"
"124","6.198656166666667E7"
"125","6.198656166666667E7"
"126","6.198656166666667E7"
"127","6.198656166666667E7"
"128","6.198656166666667E7"
"129","6.198656166666667E7"
"130","6.198656166666667E7"
"131","6.198656166666667E7"
"132","6.198656166666667E7"
"133","6.198656166666667E7"
"134","6.198656166666667E7"
"135","6.198656166666667E7"
"136","6.198656166666667E7"
"137","6.198656166666667E7"
"138","6.198656166666667E7"
"139","6.198656166666667E7"
"140","6.198656166666667E7"
"141","6.198656166666667E7"
"142","6.198656166666667E7"
"143","6.198656166666667E7"
"144","6.198656166666667E7"
"145","6.198656166666667E7"
"146","6.198656166666667E7"
"147","6.198656166666667E7"
"148","6.198656166666667E7"
"149","6.198656166666667E7"
"150","6.198656166666667E7"
"151","6.198656166666667E7"
"152","6.198656166666667E7"
"153","6.198656166666667E7"
"154","6.198656166666667E7"
"155","6.198656166666667E7"
"156","6.198656166666667E7"
"157","6.198656166666667E7"
"158","6.198656166666667E7"
"159","6.198656166666667E7"
"160","6.198656166666667E7"
"161","6.198656166666667E7"
"162","6.198656166666667E7"
"163","6.198656166666667E7"
"164","6.198656166666667E7"
"165","6.198656166666667E7"
"166","6.198656166666667E7"
"167","6.198656166666667E7"
"168","6.198656166666667E7"
"169","6.198656166666667E7"
"170","6.198656166666667E7"
"171","6.198656166666667E7"
"172","6.198656166666667E7"
"173","6.198656166666667E7"
"174","6.198656166666667E7"
"175","6.198656166666667E7"
"176","6.198656166666667E7"
"177","6.198656166666667E7"
"178","6.198656166666667E7"
"179","6.198656166666667E7"
"180","6.198656166666667E7"
"181","6.198656166666667E7"
"182","6.198656166666667E7"
"183","6.198656166666667E7"
"184","6.198656166666667E7"
"185","6.198656166666667E7"
"186","6.198656166666667E7"
"187","6.198656166666667E7"
"188","6.198656166666667E7"
"189","6.198656166666667E7"
"190","6.198656166666667E7"
"191","6.198656166666667E7"
"192","6.198656166666667E7"
"193","6.198656166666667E7"
"194","8.386167166666666E7"
"195","9.954215009523809E7"
"196","9.954215009523809E7"
"197","9.954215009523809E7"
"198","9.954215009523809E7"
"199","9.954215009523809E7"
"200","9.954215009523809E7"
"201","9.954215009523809E7"
"202","9.954215009523809E7"
"203","9.954215009523809E7"
"204","9.954215009523809E7"
"205","9.954215009523809E7"
"206","9.954215009523809E7"
"207","9.954215009523809E7"
"208","9.954215009523809E7"
"209","9.954215009523809E7"
"210","9.954215009523809E7"
"211","9.954215009523809E7"
"212","9.954215009523809E7"
"213","9.954215009523809E7"
"214","9.954215009523809E7"
"215","9.954215009523809E7"
"216","9.954215009523809E7"
"217","9.954215009523809E7"
"218","9.954215009523809E7"
"219","9.954215009523809E7"
"220","9.954215009523809E7"
"221","9.954215009523809E7"
"222","9.954215009523809E7"
"223","9.954215009523809E7"
"224","9.954215009523809E7"
"225","9.954215009523809E7"
"226","9.954215009523809E7"
"227","9.954215009523809E7"
"228","9.954215009523809E7"
"229","9.954215009523809E7"
"230","9.954215009523809E7"
"231","9.954215009523809E7"
"232","9.954215009523809E7"
"233","9.954215009523809E7"
"234","9.954215009523809E7"
"235","9.954215009523809E7"
"236","9.954215009523809E7"
"237","9.954215009523809E7"
"238","9.954215009523809E7"
"239","9.954215009523809E7"
"240","9.954215009523809E7"
"241","9.954215009523809E7"
"242","9.954215009523809E7"
"243","9.954215009523809E7"
"244","9.954215009523809E7"
"245","9.954215009523809E7"
"246","9.954215009523809E7"
"247","9.954215009523809E7"
"248","9.954215009523809E7"
"249","9.954215009523809E7"
